_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,fluency_assessment,reply,validation_log,abstr_da,abstr_utt,da,type,utt
917138562,3/25/2016 17:18:26,1936002159,3/25/2016 17:14:23,false,clixsense,1.0,31738779,CAN,ON,Toronto,45.72.149.165,"{""text"":""I did not find a bus option."",""result"":""yes""}",I did not find a bus option.,,"inform(vehicle=""*VEHICLE"")",is there a *VEHICLE option,"*=notfound, vehicle=bus",apologize,is there a bus option
917138563,3/25/2016 17:05:45,1935985086,3/25/2016 16:58:16,false,prodege,1.0,6309240,USA,CA,Los Angeles,69.75.54.130,"{""text"":""I'm sorry but I cannot find an 11:00 morning bus to meet your transportation needs."",""result"":""yes""}",I'm sorry but I cannot find an 11:00 morning bus to meet your transportation needs.,,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")",can i get a ride at *NUMBER in the *AMPM and i want to go by *VEHICLE,"*=notfound, departure_time=11:00, ampm=am, vehicle=bus",apologize,can i get a ride at eleven in the morning and i want to go by bus
917138564,3/25/2016 17:59:48,1936055535,3/25/2016 17:55:38,false,prodege,1.0,10959404,USA,CA,North Hollywood,108.217.110.104,"{""text"":""I am sorry, but I cannot find a ride for 8:00pm."",""result"":""yes""}","I am sorry, but I cannot find a ride for 8:00pm.",,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",i need a ride at *NUMBER *AMPM,"*=notfound, departure_time=8:00, ampm=pm",apologize,i need a ride at eight pm
917138565,3/25/2016 16:37:33,1935944896,3/25/2016 16:35:29,false,zoombucks,1.0,4711962,CAN,ON,Markham,76.68.126.247,"{""text"":""no need to take 0 zero transfers"",""result"":""yes""}",no need to take 0 zero transfers,,request(num_transfers),how many transfers,num_transfers=0,reply,how many transfers
917138566,3/25/2016 17:27:01,1936013823,3/25/2016 17:18:27,false,clixsense,1.0,31738779,CAN,ON,Toronto,45.72.149.165,"{""text"":""I did not find a pm option."",""result"":""yes""}",I did not find a pm option.,,"inform(ampm=""*AMPM"")",no is there an option at *NUMBER *AMPM,"*=notfound, ampm=pm",apologize,no is there an option at *NUMBER pm
917138567,3/25/2016 17:59:48,1936055530,3/25/2016 17:55:38,false,prodege,1.0,10959404,USA,CA,North Hollywood,108.217.110.104,"{""text"":""You are asking for 11:00am? From 11 to what time?"",""result"":""yes""}",You are asking for 11:00am? From 11 to what time?,,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",yes *NUMBER *AMPM,"confirm: departure_time=11:00, ampm=am; request: from_stop=?, to_stop=?",confirm-request,yes eleven am
917138568,3/25/2016 16:10:45,1935902316,3/25/2016 16:00:55,false,clixsense,1.0,22423108,CAN,ON,Bowmanville,69.156.101.168,"{""text"":""I confirm the time 8:00 am this morning.  From where would you like to depart, and where would like to arrive?"",""result"":""yes""}","I confirm the time 8:00 am this morning.  From where would you like to depart, and where would like to arrive?",,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",i need a ride at *NUMBER *AMPM,"confirm: departure_time=8:00, ampm=am; request: from_stop=?, to_stop=?",confirm-request,i need a ride at eight am
917138569,3/25/2016 17:17:35,1936001143,3/25/2016 17:13:47,false,prodege,1.0,6309240,USA,CA,Los Angeles,69.75.54.130,"{""text"":""My understanding is that you need a 2:00 pm connection."",""result"":""yes""}",My understanding is that you need a 2:00 pm connection.,,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")",i'm looking for a *NUMBER *AMPM connection,"departure_time=2:00, ampm=pm",confirm,i'm looking for a two pm connection
917138570,3/25/2016 17:27:01,1936013824,3/25/2016 17:18:27,false,clixsense,1.0,31738779,CAN,ON,Toronto,45.72.149.165,"{""text"":""Where are you leaving from and where are you going to at 11:00am."",""result"":""yes""}",Where are you leaving from and where are you going to at 11:00am.,,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")",i'd like to find out connection at *NUMBER *AMPM,"confirm: departure_time=11:00, ampm=am; request: from_stop=?, to_stop=?",confirm-request,i'd like to find out connection at eleven am
917138571,3/25/2016 17:59:48,1936055537,3/25/2016 17:55:38,false,prodege,1.0,10959404,USA,CA,North Hollywood,108.217.110.104,"{""text"":""You are asking if there is a spot at 4:00pm?"",""result"":""yes""}",You are asking if there is a spot at 4:00pm?,,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",is there *NUMBER at *NUMBER o'clock in the *AMPM,"departure_time=4:00, ampm=pm",confirm,is there four at four o'clock in the afternoon
917138572,3/25/2016 17:14:22,1935996784,3/25/2016 16:48:20,false,clixsense,1.0,31738779,CAN,ON,Toronto,45.72.149.165,"{""text"":""I'll check for a connection in 30 minutes."",""result"":""yes""}",I'll check for a connection in 30 minutes.,,"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")",connection in *NUMBER minutes,departure_time_rel=0:30,confirm,connection in thirty minutes
917138573,3/25/2016 17:05:05,1935984192,3/25/2016 17:01:28,false,prodege,1.0,36887197,USA,VA,Richmond,50.134.51.26,"{""text"":""I apologise, the destination City Hall cannot be found."",""result"":""yes""}","I apologise, the destination City Hall cannot be found.",,"inform(to_stop=""*STOP"")",-klin street and going to *STOP,"*=notfound, to_stop=City Hall",apologize,-klin street and going to City Hall
917138574,3/25/2016 17:17:35,1936001142,3/25/2016 17:13:47,false,prodege,1.0,6309240,USA,CA,Los Angeles,69.75.54.130,"{""text"":""Please let me know where you will be coming from."",""result"":""yes""}",Please let me know where you will be coming from.,,"inform(to_stop=""*STREET"")",destination is *STOP,from_stop=?,request,destination is Wall Street
917138575,3/25/2016 17:28:02,1936015360,3/25/2016 17:24:47,false,bitcoinget,1.0,36685238,USA,CO,Denver,63.225.107.244,"{""text"":""Sorry, i cannot find another alternative for 6:00pm by taking the subway."",""result"":""yes""}","Sorry, i cannot find another alternative for 6:00pm by taking the subway.",,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")&inform(alternative=""next"")",is there another alternative for *NUMBER o'clock in the *AMPM by taking the *VEHICLE,"*=notfound, departure_time=6:00, ampm=pm, vehicle=subway, alternative=next",apologize,is there another alternative for six o'clock in the evening by taking the subway
917138576,3/25/2016 17:13:46,1935996026,3/25/2016 17:05:46,false,prodege,1.0,6309240,USA,CA,Los Angeles,69.75.54.130,"{""text"":""I apologize but it will not arrive in 0:20 minutes."",""result"":""yes""}",I apologize but it will not arrive in 0:20 minutes.,,"inform(departure_time=""*TIME"")",*NUMBER minutes,"*=notfound, departure_time=0:20",apologize,twenty minutes
917138577,3/25/2016 16:43:43,1935954035,3/25/2016 16:42:24,false,zoombucks,1.0,4711962,CAN,ON,Markham,76.68.126.247,"{""text"":""take the bus line M8 at 8:02am from city hall dir bowling green"",""result"":""yes""}",take the bus line M8 at 8:02am from city hall dir bowling green,,"inform(to_stop=""*STREET"")",no port authority to *STOP,"departure_time=8:02am, vehicle=bus, from_stop=City Hall, line=M8, direction=Bowling Green",reply,no port authority to Bowling Green
917138578,3/25/2016 17:28:02,1936015362,3/25/2016 17:24:47,false,bitcoinget,1.0,36685238,USA,CO,Denver,63.225.107.244,"{""text"":""Did you ask to take the subway at six pm?"",""result"":""yes""}",Did you ask to take the subway at six pm?,,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")",*NUMBER *AMPM take the *VEHICLE,"departure_time=6:00, ampm=pm, vehicle=subway",confirm,six pm take the subway
917138579,3/25/2016 17:27:01,1936013821,3/25/2016 17:18:27,false,clixsense,1.0,31738779,CAN,ON,Toronto,45.72.149.165,"{""text"":""I did not find a 4:00pm route."",""result"":""yes""}",I did not find a 4:00pm route.,,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",i need a *NUMBER *AMPM,"*=notfound, departure_time=4:00, ampm=pm",apologize,i need a four pm
917138580,3/25/2016 16:42:23,1935952089,3/25/2016 16:41:12,false,zoombucks,1.0,4711962,CAN,ON,Markham,76.68.126.247,"{""text"":""second 2nd option"",""result"":""yes""}",second 2nd option,,"inform(alternative=""2"")",the second option,alternative=2,confirm,the second option
917138581,3/25/2016 17:13:46,1935996015,3/25/2016 17:05:46,false,prodege,1.0,6309240,USA,CA,Los Angeles,69.75.54.130,"{""text"":""I apologize but I cannot find a 4:00 departure."",""result"":""yes""}",I apologize but I cannot find a 4:00 departure from your requested location.,,"inform(departure_time=""*TIME"")",i need information about a *NUMBER o'clock ride but,"*=notfound, departure_time=4:00",apologize,i need information about a four o'clock ride but
917138582,3/25/2016 16:41:12,1935950366,3/25/2016 16:39:12,false,zoombucks,1.0,4711962,CAN,ON,Markham,76.68.126.247,"{""text"":""not found to port authority bus terminal"",""result"":""yes""}",not found to port authority bus terminal,,"inform(to_stop=""*STREET"")",no i want to arrive at *STOP,"*=notfound, to_stop=Port Authority Bus Terminal",apologize,no i want to arrive at Port Authority Bus Terminal
917138583,3/25/2016 16:41:12,1935950363,3/25/2016 16:39:12,false,zoombucks,1.0,4711962,CAN,ON,Markham,76.68.126.247,"{""text"":""not found at 12:00 pm afternoon"",""result"":""yes""}",not found at 12:00 pm afternoon,,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",for *NUMBER *AMPM,"*=notfound, departure_time=12:00, ampm=pm",apologize,for twelve pm
917138584,3/25/2016 17:53:35,1936046571,3/25/2016 17:51:47,false,clixsense,1.0,31738779,CAN,ON,Toronto,45.72.149.165,"{""text"":""I did not find your 8:00am destination."",""result"":""yes""}",I did not find your 8:00am destination.,,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",same destination in the *AMPM at *NUMBER,"*=notfound, departure_time=8:00, ampm=am",apologize,same destination in the morning at eight
917138585,3/25/2016 16:41:12,1935950377,3/25/2016 16:39:12,false,zoombucks,1.0,4711962,CAN,ON,Markham,76.68.126.247,"{""text"":""not found to bryant park"",""result"":""yes""}",not found to bryant park,,"inform(to_stop=""*STREET"")",i want to go to *STOP hello,"*=notfound, to_stop=Bryant Park",apologize,i want to go to Bryant Park hello
917138586,3/25/2016 18:06:31,1936065255,3/25/2016 17:59:06,false,neodev,1.0,23017572,USA,CA,Los Angeles,67.215.241.22,"{""text"":""ok you want to know the duration from Penn Station to Chambers Street and it will take approximately 70 minutes"",""result"":""yes""}",ok you want to know the duration from Penn Station to Chambers Street and it will take approximately 70 minutes,,"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")&request(duration)",*STOP to *STOP how long will it take,"confirm: from_stop=Penn Station, to_stop=Chambers Street; reply: duration=70 minutes",confirm-reply,Penn Station to Chambers Street how long will it take
917138587,3/25/2016 17:13:46,1935996023,3/25/2016 17:05:46,false,prodege,1.0,6309240,USA,CA,Los Angeles,69.75.54.130,"{""text"":""I'm sorry but there is no connection after that."",""result"":""yes""}",I'm sorry but there is no connection after that.,,"inform(alternative=""next"")",is there a connection after that,"*=notfound, alternative=next",apologize,is there a connection after that
917138588,3/25/2016 16:42:23,1935952094,3/25/2016 16:41:12,false,zoombucks,1.0,4711962,CAN,ON,Markham,76.68.126.247,"{""text"":""not found take the subway"",""result"":""yes""}",not found take the subway,,"inform(vehicle=""*VEHICLE"")",rather take the *VEHICLE,"*=notfound, vehicle=subway",apologize,rather take the subway
917138589,3/25/2016 17:05:45,1935985087,3/25/2016 16:58:16,false,prodege,1.0,6309240,USA,CA,Los Angeles,69.75.54.130,"{""text"":""With the current route, I am not able to find a departure from Delancey Street."",""result"":""yes""}","With the current route, I am not able to find a departure from Delancey Street.",,"confirm(from_stop=""*STREET"")",i need to know how to depart from *STOP and finish at *STOP,"*=notfound, from_stop=Delancey Street",apologize,i need to know how to depart from Delancey Street and finish at *STOP
917138590,3/25/2016 17:13:46,1935996022,3/25/2016 17:05:46,false,prodege,1.0,6309240,USA,CA,Los Angeles,69.75.54.130,"{""text"":""I'm sorry but there is no 12:00 pm departure for your requested route."",""result"":""yes""}",I'm sorry but there is no 12:00 pm departure for your requested route.,,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",can i how about if i leave at *NUMBER *AMPM,"*=notfound, departure_time=12:00, ampm=pm",apologize,can i how about if i leave at twelve pm
917138591,3/25/2016 16:39:11,1935947145,3/25/2016 16:37:33,false,zoombucks,1.0,4711962,CAN,ON,Markham,76.68.126.247,"{""text"":""not found at 7:00 pm evening"",""result"":""yes""}",not found at 7:00 pm evening,,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",i'd like to leave at *NUMBER *AMPM,"*=notfound, departure_time=7:00, ampm=pm",apologize,i'd like to leave at seven pm
917138592,3/25/2016 16:43:43,1935954040,3/25/2016 16:42:24,false,zoombucks,1.0,4711962,CAN,ON,Markham,76.68.126.247,"{""text"":""not found to fulton street"",""result"":""yes""}",not found to fulton street,,"inform(to_stop=""*STOP"")",i need to go to *STOP,"*=notfound, to_stop=Fulton Street",apologize,i need to go to Fulton Street
917138593,3/25/2016 16:42:23,1935952088,3/25/2016 16:41:12,false,zoombucks,1.0,4711962,CAN,ON,Markham,76.68.126.247,"{""text"":""not found take the subway"",""result"":""yes""}",not found take the subway,,"inform(vehicle=""*VEHICLE"")",what about a connection by *VEHICLE,"*=notfound, vehicle=subway",apologize,what about a connection by subway
917138596,3/25/2016 17:17:35,1936001140,3/25/2016 17:13:47,false,prodege,1.0,6309240,USA,CA,Los Angeles,69.75.54.130,"{""text"":""I apologize but Inwood is not a possible destination on this route."",""result"":""yes""}",I apologize but Inwood is not a possible destination on this route.,,"inform(to_stop=""*STREET"")",change the destination to *STOP,"*=notfound, to_stop=Inwood",apologize,change the destination to Inwood
917138597,3/25/2016 16:39:11,1935947139,3/25/2016 16:37:33,false,zoombucks,1.0,4711962,CAN,ON,Markham,76.68.126.247,"{""text"":""not found from east broadway"",""result"":""yes""}",not found from east broadway,,"confirm(from_stop=""*STREET"")",i want to depart from *STOP,"*=notfound, from_stop=East Broadway",apologize,i want to depart from East Broadway
917138598,3/25/2016 17:20:02,1936004423,3/25/2016 17:12:13,false,bitcoinget,1.0,36685238,USA,CO,Denver,63.225.107.244,"{""text"":""Sorry, i cannot find to go from Inwood. "",""result"":""yes""}","Sorry, i cannot a route from Inwood.",,"inform(from_stop=""*STOP"")",i want to go from *STOP,"*=notfound, from_stop=Inwood",apologize,i want to go from Inwood
917138599,3/25/2016 17:12:22,1935994315,3/25/2016 17:02:49,false,prodege,1.0,13342404,CAN,BC,Westbank,154.20.52.37,"{""text"":""You are asking how to get to Rockefeller Center, to give you accurate directions I need to know where you are travelling from."",""result"":""yes""}","You are asking how to get to Rockefeller Center, to give you accurate directions I need to know where you are travelling from.",,"inform(to_stop=""*STOP"")",i want to get to *STOP,confirm: to_stop=Rockefeller Center; request: from_stop=?,confirm-request,i want to get to Rockefeller Center
917138600,3/25/2016 16:58:15,1935973958,3/25/2016 16:53:11,false,prodege,1.0,6309240,USA,CA,Los Angeles,69.75.54.130,"{""text"":""You are looking for the subway as an alternative option, correct?"",""result"":""yes""}","You are looking for the subway as an alternative option, correct?",,"inform(vehicle=""*VEHICLE"")",is there an alternative to take the *VEHICLE,vehicle=subway,confirm,is there an alternative to take the subway
917138601,3/25/2016 16:39:11,1935947137,3/25/2016 16:37:33,false,zoombucks,1.0,4711962,CAN,ON,Markham,76.68.126.247,"{""text"":""not found at 10:00 pm afternoon"",""result"":""yes""}",not found at 10:00 pm afternoon,,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",yes *NUMBER *AMPM,"*=notfound, departure_time=10:00, ampm=pm",apologize,yes ten pm
917138602,3/25/2016 17:12:22,1935994320,3/25/2016 17:02:49,false,prodege,1.0,13342404,CAN,BC,Westbank,154.20.52.37,"{""text"":""You are travelling to the Lincoln Center, please tell me from which stop."",""result"":""yes""}","You are travelling to the Lincoln Center, please tell me from which stop.",,"inform(to_stop=""*STREET"")",yes i need directions to *STOP,confirm: to_stop=Lincoln Center; request: from_stop=?,confirm-request,yes i need directions to Lincoln Center
917138603,3/25/2016 16:58:15,1935973959,3/25/2016 16:53:11,false,prodege,1.0,6309240,USA,CA,Los Angeles,69.75.54.130,"{""text"":""I'm sorry but I have not found Bowling Green on the route that you have requested."",""result"":""yes""}",I'm sorry but I have not found Bowling Green on the route that you have requested.,,"inform(to_stop=""*STREET"")",can i go to *STOP,"*=notfound, to_stop=Bowling Green",apologize,can i go to Bowling Green
917138604,3/25/2016 17:20:02,1936004425,3/25/2016 17:12:13,false,bitcoinget,1.0,36685238,USA,CO,Denver,63.225.107.244,"{""text"":""Sorry, i can't find a route to Rector Street."",""result"":""yes""}","Sorry, i can't find a route to Rector Street.",,"inform(to_stop=""*STOP"")",no i would like to travel to *STOP,"*=notfound, to_stop=Rector Street",apologize,no i would like to travel to Rector Street
917138605,3/25/2016 18:06:31,1936065258,3/25/2016 17:59:06,false,neodev,1.0,23017572,USA,CA,Los Angeles,67.215.241.22,"{""text"":""just take the subway in the line F at 5:19pm from Park Place to City Hall"",""result"":""yes""}",just take the subway in the line F at 5:19pm from Park Place to City Hall,,"inform(from_stop=""*STREET"")",no from *STOP,"departure_time=5:19pm, direction=City Hall, vehicle=subway, line=F, from_stop=Park Place",reply,no from Park Place
917138606,3/25/2016 17:14:22,1935996790,3/25/2016 16:48:20,false,clixsense,1.0,31738779,CAN,ON,Toronto,45.72.149.165,"{""text"":""Where are you leaving from and where are you going to?"",""result"":""yes""}",Where are you leaving from and where are you going to?,,"inform(vehicle=""*VEHICLE"")",is there a *VEHICLE option,"from_stop=?, to_stop=?",request,is there a subway option
917138607,3/25/2016 17:05:05,1935984186,3/25/2016 17:01:28,false,prodege,1.0,36887197,USA,VA,Richmond,50.134.51.26,"{""text"":""What is the destination stop?"",""result"":""yes""}",What is the destination stop?,,"inform(from_stop=""*STREET"")",i'm departing from *STOP,to_stop=?,request,i'm departing from Roosevelt Island
917138608,3/25/2016 17:05:05,1935984195,3/25/2016 17:01:28,false,prodege,1.0,36887197,USA,VA,Richmond,50.134.51.26,"{""text"":""I apologise, you subway 8:00 am schedule was not found"",""result"":""yes""}","I apologise, the subway 8:00 am schedule was not found",,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")",*NUMBER *AMPM schedule by *VEHICLE,"*=notfound, departure_time=8:00, ampm=am, vehicle=subway",apologize,eight am schedule by subway
917138609,3/25/2016 17:05:05,1935984200,3/25/2016 17:01:28,false,prodege,1.0,36887197,USA,VA,Richmond,50.134.51.26,"{""text"":""I apologise, a 7:00 pm connection cannot be found."",""result"":""yes""}","I apologise, a 7:00 pm connection cannot be found.",,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")",i'm looking for a *NUMBER *AMPM connection,"*=notfound, departure_time=7:00, ampm=pm",apologize,i'm looking for a seven pm connection
917138610,3/25/2016 16:10:45,1935902312,3/25/2016 16:00:55,false,clixsense,1.0,22423108,CAN,ON,Bowmanville,69.156.101.168,"{""text"":""I'm sorry.  I can't find your request for Bleecker Street"",""result"":""yes""}",I'm sorry.  I can't find your request for Bleecker Street,,"inform(to_stop=""*STREET"")",i want to arrive in *STOP,"*=notfound, to_stop=Bleecker Street",apologize,i want to arrive in Bleecker Street
917138611,3/25/2016 17:13:46,1935996018,3/25/2016 17:05:46,false,prodege,1.0,6309240,USA,CA,Los Angeles,69.75.54.130,"{""text"":""You will depart by subway at 7:07am from Times Square on Line Z and head in the direction of East Broadway."",""result"":""yes""}",You will depart by subway at 7:07am from Times Square on Line Z and head in the direction of East Broadway.,,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",ok what if i leave at around *NUMBER *AMPM,"from_stop=Times Square, line=Z, direction=East Broadway, departure_time=7:07am, vehicle=subway",reply,ok what if i leave at around seven am
917138612,3/25/2016 16:10:45,1935902313,3/25/2016 16:00:55,false,clixsense,1.0,22423108,CAN,ON,Bowmanville,69.156.101.168,"{""text"":""I confirm, you want to depart from Park Place."",""result"":""yes""}","I confirm, you want to depart from Park Place.",,"inform(from_stop=""*STREET"")",i would like to go from *STOP towards *STOP,from_stop=Park Place,confirm,i would like to go from Park Place towards *STOP
917138613,3/25/2016 17:24:46,1936010735,3/25/2016 17:20:02,false,bitcoinget,1.0,36685238,USA,CO,Denver,63.225.107.244,"{""text"":""sorry i cannot find an alternative to 5:00pm on the subway."",""result"":""yes""}",sorry i cannot find an alternative to 5:00pm on the subway.,,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")",is there an alternative to *NUMBER *AMPM i would like to take the *VEHICLE,"*=notfound, departure_time=5:00, ampm=pm, vehicle=subway",apologize,is there an alternative to five pm i would like to take the subway
917138614,3/25/2016 17:05:45,1935985091,3/25/2016 16:58:16,false,prodege,1.0,6309240,USA,CA,Los Angeles,69.75.54.130,"{""text"":""I need further information.  Can you let me know where you are originating from and to where is your destination?"",""result"":""yes""}",I need further information.  Can you let me know where you are originating from and to where is your destination?,,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")",i wanna leave at *NUMBER *AMPM by *VEHICLE,"from_stop=?, to_stop=?",request,i wanna leave at ten am by subway
917138615,3/25/2016 16:10:45,1935902322,3/25/2016 16:00:55,false,clixsense,1.0,22423108,CAN,ON,Bowmanville,69.156.101.168,"{""text"":""From where would you like to depart, and where would you like to arrive?"",""result"":""yes""}","From where would you like to depart, and where would you like to arrive?",,"inform(vehicle=""*VEHICLE"")",yes i am still here can we take the *VEHICLE ,"from_stop=?, to_stop=?",request,yes i am still here can we take the bus 
