context_utt,context_freq,context_parse,response_da,response_nl1,response_nl2,response_nl3,context_utt_l,context_parse_l,response_da_l,response_nl1_l,response_nl2_l,response_nl3_l
i need to leave at *NUMBER in the *AMPM,2,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")","inform_no_match(departure_time=""*DEPARTURE_TIME"")&inform_no_match(ampm=""*AMPM"")","Sorry, a departure at *DEPARTURE_TIME *AMPM is not found.",I did not find info about traveling at *DEPARTURE_TIME *AMPM.,I apologize but such a info not found from *DEPARTURE_TIME *AMPM.,i need to leave at eleven in the morning,"inform(departure_time=""*TIME"")&inform(ampm=""am"")","inform_no_match(departure_time=""11:00"")&inform_no_match(ampm=""am"")","Sorry, a departure at 11:00 am is not found.",I did not find info about traveling at 11:00 am.,I apologize but such a info not found from 11:00 am.
i rather take the *VEHICLE,1,"inform(vehicle=""*VEHICLE"")",request(from_stop)&request(to_stop),Where do you want to go from and to?,Where would you like to travel from and to?,From where to where?,i rather take the bus,"inform(vehicle=""*VEHICLE"")",request(from_stop)&request(to_stop),Where do you want to go from and to?,Where would you like to travel from and to?,From where to where?
prefer to use the *VEHICLE,1,"inform(vehicle=""*VEHICLE"")","inform_no_match(vehicle=""*VEHICLE"")","I'm sorry, a *VEHICLE was not found.",I apologize but such a *VEHICLE route not found.,I did not find a *VEHICLE route.,prefer to use the bus,"inform(vehicle=""bus"")","inform_no_match(vehicle=""bus"")","I'm sorry, a bus was not found.",I apologize but such a bus route not found.,I did not find a bus route.
i'd like to go from *STOP to the,1,"inform(from_stop=""*STOP"")","inform_no_match(from_stop=""*FROM_STOP"")","I apologize, but such a route not found from *FROM_STOP.",Not found from *FROM_STOP.,Not found from *FROM_STOP.,i'd like to go from Columbia University to the,"inform(from_stop=""*STOP"")","inform_no_match(from_stop=""Columbia University"")","I apologize, but such a route not found from Columbia University.",Not found from Columbia University.,Not found from Columbia University.
i am starting from *STOP and heading towards *STOP,1,"inform(from_stop=""*STOP"")","iconfirm(from_stop=""*FROM_STOP"")&request(to_stop)","From *FROM_STOP, to what direction?",Starting at *FROM_STOP where are you going?,From *FROM_STOP to where?,i am starting from Central Park and heading towards *STOP,"inform(from_stop=""*STOP"")","iconfirm(from_stop=""Central Park"")&request(to_stop)","From Central Park, to what direction?",Starting at Central Park where are you going?,From Central Park to where?
i'm heading to *STOP,2,"inform(to_stop=""*STOP"")","inform_no_match(to_stop=""*TO_STOP"")","I'm sorry, I cannot find a route to *TO_STOP.",Sorry but I could not find any path to *TO_STOP.,"Apologies, a connection to *TO_STOP is not found.",i'm heading to Prince Street,"inform(to_stop=""*STOP"")","inform_no_match(to_stop=""Prince Street"")","I'm sorry, I cannot find a route to Prince Street.",Sorry but I could not find any path to Prince Street.,"Apologies, a connection to Prince Street is not found."
*NUMBER *AMPM schedule by *VEHICLE,1,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")","inform_no_match(departure_time=""*DEPARTURE_TIME"")&inform_no_match(ampm=""*AMPM"")&inform_no_match(vehicle=""*VEHICLE"")",I'm really sorry but the requested transportation by *VEHICLE at *DEPARTURE_TIME *AMPM is not found.,A *VEHICLE route at *DEPARTURE_TIME *AMPM is not found.,"I apologize, the *VEHICLE *DEPARTURE_TIME *AMPM schedule was not found.",eight am schedule by subway,"inform(departure_time=""8:00"")&inform(ampm=""am"")&inform(vehicle=""subway"")","inform_no_match(departure_time=""8:00"")&inform_no_match(ampm=""am"")&inform_no_match(vehicle=""subway"")",I'm really sorry but the requested transportation by subway at 8:00 am is not found.,A subway route at 8:00 am is not found.,"I apologize, the subway 8:00 am schedule was not found."
i want to go to *STOP instead,2,"inform(to_stop=""*STOP"")","inform(from_stop=""*FROM_STOP"")&inform(line=""*LINE"")&inform(vehicle=""*VEHICLE"")&inform(direction=""*DIRECTION"")&inform(departure_time=""*DEPARTURE_TIME"")",At *DEPARTURE_TIME by *VEHICLE line *LINE from *FROM_STOP to *DIRECTION.,From *FROM_STOP to *DIRECTION *VEHICLE at line *LINE at *DEPARTURE_TIME.,Take line *LINE *VEHICLE at *DEPARTURE_TIME from *FROM_STOP direction *DIRECTION.,i want to go to Penn Station instead,"inform(to_stop=""*STOP"")","inform(from_stop=""Columbus Circle"")&inform(line=""M116"")&inform(vehicle=""bus"")&inform(direction=""Penn Station"")&inform(departure_time=""11:14am"")",At 11:14am by bus line M116 from Columbus Circle to Penn Station.,From Columbus Circle to Penn Station bus at line M116 at 11:14am.,Take line M116 bus at 11:14am from Columbus Circle direction Penn Station.
transit itinerary from *STOP to *STOP,1,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform_no_match(from_stop=""*FROM_STOP"")&inform_no_match(to_stop=""*TO_STOP"")",Not found from *FROM_STOP to *TO_STOP.,"Sorry, transit from *FROM_STOP to *TO_STOP not found.","Sorry, travel from *FROM_STOP to *TO_STOP was not found.",transit itinerary from Marble Hill to World Trade Center,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform_no_match(from_stop=""Marble Hill"")&inform_no_match(to_stop=""World Trade Center"")",Not found from Marble Hill to World Trade Center.,"Sorry, transit from Marble Hill to World Trade Center not found.","Sorry, travel from Marble Hill to World Trade Center was not found."
i want to go to *STOP by ,1,"inform(to_stop=""*STOP"")","inform_no_match(to_stop=""*TO_STOP"")","I apologize, I cannot find a connection to *TO_STOP.",You want to go to *TO_STOP. I apologize but this information is not found.,"I'm sorry, the transportation to *TO_STOP you requested was not found.",i want to go to Dyckman Street by ,"inform(to_stop=""*STOP"")","inform_no_match(to_stop=""Dyckman Street"")","I apologize, I cannot find a connection to Dyckman Street.",You want to go to Dyckman Street. I apologize but this information is not found.,"I'm sorry, the transportation to Dyckman Street you requested was not found."
yes connection in *NUMBER minutes,1,"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")","iconfirm(departure_time_rel=""*DEPARTURE_TIME_REL"")",In *DEPARTURE_TIME_REL minutes.,Connections in *DEPARTURE_TIME_REL minutes.,"OK, you want a connection in *DEPARTURE_TIME_REL minutes.",yes connection in twenty minutes,"inform(departure_time_rel=""0:20"")","iconfirm(departure_time_rel=""0:20"")",In 20 minutes.,Connections in 20 minutes.,"OK, you want a connection in twenty minutes."
no i would like to travel to *STOP,1,"inform(to_stop=""*STOP"")",request(from_stop),But from where to go?,OK sir but I need you to tell me from where do you want to go?,From what station?,no i would like to travel to Rector Street,"inform(to_stop=""*STOP"")",request(from_stop),But from where to go?,OK sir but I need you to tell me from where do you want to go?,From what station?
want to find a *VEHICLE connection,1,"inform(vehicle=""*VEHICLE"")","iconfirm(vehicle=""*VEHICLE"")&request(from_stop)&request(to_stop)","Taking a *VEHICLE, from what station and to what destination?","You need a *VEHICLE connection, where would you like to go from and to where?",You would like to take the *VEHICLE from which stop and to where?,want to find a subway connection,"inform(vehicle=""subway"")","iconfirm(vehicle=""subway"")&request(from_stop)&request(to_stop)","Taking a subway, from what station and to what destination?","You need a subway connection, where would you like to go from and to where?",You would like to take the subway from which stop and to where?
and i'm going to *STOP,1,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""*TO_STOP"")","OK, so you want to go to *TO_STOP.",I understand that you want to get to *TO_STOP.,You want *TO_STOP.,and i'm going to Penn Station,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""Penn Station"")","OK, so you want to go to Penn Station.",I understand that you want to get to Penn Station.,You want Penn Station.
i would like to take the *VEHICLE,1,"inform(vehicle=""*VEHICLE"")",request(from_stop)&request(to_stop),Can you please confirm from where and where to?,What station are you coming from and to what direction?,Where do you want to go from and where do you want to go to?,i would like to take the subway,"inform(vehicle=""*VEHICLE"")",request(from_stop)&request(to_stop),Can you please confirm from where and where to?,What station are you coming from and to what direction?,Where do you want to go from and where do you want to go to?
id like to find a *VEHICLE connection please,1,"inform(vehicle=""*VEHICLE"")",request(from_stop)&request(to_stop),From what station and to what direction?,Where would you like to go from and to where?,From which stop to which stop sir?,id like to find a bus connection please,"inform(vehicle=""*VEHICLE"")",request(from_stop)&request(to_stop),From what station and to what direction?,Where would you like to go from and to where?,From which stop to which stop sir?
search for a route *NUMBER *AMPM to *STOP,1,"inform(to_stop=""*STOP"")&inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")","iconfirm(to_stop=""*TO_STOP"")&iconfirm(departure_time=""*DEPARTURE_TIME"")&iconfirm(ampm=""*AMPM"")",You want a connection to the *TO_STOP at *DEPARTURE_TIME *AMPM.,I'll check for a route to the *TO_STOP at *DEPARTURE_TIME *AMPM.,Search for a route *DEPARTURE_TIME *AMPM to *TO_STOP.,search for a route nine am to World Trade Center,"inform(to_stop=""*STOP"")&inform(departure_time=""*TIME"")&inform(ampm=""am"")","iconfirm(to_stop=""World Trade Center"")&iconfirm(departure_time=""9:00"")&iconfirm(ampm=""am"")",You want a connection to the World Trade Center at 9:00 am.,I'll check for a route to the World Trade Center at 9:00 am.,Search for a route nine am to World Trade Center.
no i want to go from *STOP to,1,"inform(from_stop=""*STOP"")","inform(from_stop=""*FROM_STOP"")&inform(departure_time=""*DEPARTURE_TIME"")&inform(direction=""*DIRECTION"")&inform(vehicle=""*VEHICLE"")&inform(line=""*LINE"")",Take *VEHICLE *LINE from *FROM_STOP to *DIRECTION at *DEPARTURE_TIME.,At *DEPARTURE_TIME by *VEHICLE line *LINE from *FROM_STOP to *DIRECTION.,You can use *VEHICLE *LINE at *DEPARTURE_TIME from *FROM_STOP to *DIRECTION.,no i want to go from Astor Place to,"inform(from_stop=""*STOP"")","inform(from_stop=""Astor Place"")&inform(departure_time=""11:08pm"")&inform(direction=""Prince Street"")&inform(vehicle=""subway"")&inform(line=""F"")",Take subway F from Astor Place to Prince Street at 11:08pm.,At 11:08pm by subway line F from Astor Place to Prince Street.,You can use subway F at 11:08pm from Astor Place to Prince Street.
*STOP to bleeker street,1,"inform(from_stop=""*STOP"")","iconfirm(from_stop=""*FROM_STOP"")",I understand you want to travel from *FROM_STOP.,"Yes, from *FROM_STOP.",I confirm you wish to travel from *FROM_STOP.,East Broadway to bleeker street,"inform(from_stop=""*STOP"")","iconfirm(from_stop=""East Broadway"")",I understand you want to travel from East Broadway.,"Yes, from East Broadway.",I confirm you wish to travel from East Broadway.
are there any transfers,1,request(num_transfers),"inform(num_transfers=""*NUM_TRANSFERS"")",It takes *NUM_TRANSFERS transfers.,There are *NUM_TRANSFERS transfers.,There are *NUM_TRANSFERS.,are there any transfers,request(num_transfers),"inform(num_transfers=""2"")",It takes 2 transfers.,There are 2 transfers.,There are 2.
i need a trip going from *STOP to *STOP,1,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform(vehicle=""*VEHICLE"")&inform(departure_time=""*DEPARTURE_TIME"")&inform(direction=""*DIRECTION"")&inform(line=""*LINE"")&inform(from_stop=""*FROM_STOP"")","At *DEPARTURE_TIME, a *VEHICLE line *LINE direction *DIRECTION from *FROM_STOP.",Take the *LINE *VEHICLE at *DEPARTURE_TIME from *FROM_STOP to *DIRECTION.,"At *DEPARTURE_TIME, take *VEHICLE *LINE from *FROM_STOP heading to *DIRECTION.",i need a trip going from Wall Street to Rockefeller Center,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform(vehicle=""bus"")&inform(departure_time=""8:13am"")&inform(direction=""Rockefeller Center"")&inform(line=""M12"")&inform(from_stop=""Wall Street"")","At 8:13am, a bus line M12 direction Rockefeller Center from Wall Street.",Take the M12 bus at 8:13am from Wall Street to Rockefeller Center.,"At 8:13am, take bus M12 from Wall Street heading to Rockefeller Center."
connection from *STOP to *STOP,1,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform(from_stop=""*FROM_STOP"")&inform(line=""*LINE"")&inform(direction=""*DIRECTION"")&inform(vehicle=""*VEHICLE"")&inform(departure_time=""*DEPARTURE_TIME"")","Take the line *LINE *VEHICLE, from *FROM_STOP towards *DIRECTION, departing at *DEPARTURE_TIME.",You can use *VEHICLE *LINE at *DEPARTURE_TIME from *FROM_STOP to *DIRECTION.,You can take the *LINE *VEHICLE from *FROM_STOP to *DIRECTION at *DEPARTURE_TIME.,connection from Astor Place to East Broadway,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform(from_stop=""Astor Place"")&inform(line=""M96"")&inform(direction=""East Broadway"")&inform(vehicle=""bus"")&inform(departure_time=""11:00am"")","Take the line M96 bus, from Astor Place towards East Broadway, departing at 11:00am.",You can use bus M96 at 11:00am from Astor Place to East Broadway.,You can take the M96 bus from Astor Place to East Broadway at 11:00am.
is there a *VEHICLE connection,1,"inform(vehicle=""*VEHICLE"")","inform(line=""*LINE"")&inform(departure_time=""*DEPARTURE_TIME"")&inform(from_stop=""*FROM_STOP"")&inform(direction=""*DIRECTION"")&inform(vehicle=""*VEHICLE"")",Take line *LINE *VEHICLE at *DEPARTURE_TIME from *FROM_STOP direction *DIRECTION.,"Yes, there is a *VEHICLE connection, take line *LINE at *DEPARTURE_TIME from *FROM_STOP to *DIRECTION.",Take the *VEHICLE from *FROM_STOP towards *DIRECTION at *DEPARTURE_TIME on line *LINE.,is there a subway connection,"inform(vehicle=""subway"")","inform(line=""J"")&inform(departure_time=""6:03pm"")&inform(from_stop=""Astor Place"")&inform(direction=""Rector Street"")&inform(vehicle=""subway"")",Take line J subway at 6:03pm from Astor Place direction Rector Street.,"Yes, there is a subway connection, take line J at 6:03pm from Astor Place to Rector Street.",Take the subway from Astor Place towards Rector Street at 6:03pm on line J.
to *STOP,2,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""*TO_STOP"")",Going to *TO_STOP.,"Yes, you want *TO_STOP.",I understand you want to go to *TO_STOP.,to Inwood,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""Inwood"")",Going to Inwood.,"Yes, you want Inwood.",I understand you want to go to Inwood.
id like to find a *VEHICLE connection please,1,"inform(vehicle=""*VEHICLE"")","iconfirm(vehicle=""*VEHICLE"")&request(from_stop)&request(to_stop)",You would like to take a *VEHICLE. Where would you like to travel from and to?,So are you looking for a *VEHICLE connection from which location to what destination?,Where would you like to find a *VEHICLE connection from?,id like to find a bus connection please,"inform(vehicle=""bus"")","iconfirm(vehicle=""bus"")&request(from_stop)&request(to_stop)",You would like to take a bus. Where would you like to travel from and to?,So are you looking for a bus connection from which location to what destination?,Where would you like to find a bus connection from?
i want to go to *STOP instead,2,"inform(to_stop=""*STOP"")","inform_no_match(to_stop=""*TO_STOP"")",I'm sorry there is no connection to *TO_STOP.,Sorry sir but I could not find any path to *TO_STOP.,Not found to *TO_STOP.,i want to go to Bryant Park instead,"inform(to_stop=""*STOP"")","inform_no_match(to_stop=""Bryant Park"")",I'm sorry there is no connection to Bryant Park.,Sorry sir but I could not find any path to Bryant Park.,Not found to Bryant Park.
yes be at the *VEHICLE,1,"inform(vehicle=""*VEHICLE"")","iconfirm(vehicle=""*VEHICLE"")",You want to be at the *VEHICLE.,You would like to travel by *VEHICLE.,"OK, you want to take the *VEHICLE.",yes be at the subway,"inform(vehicle=""subway"")","iconfirm(vehicle=""subway"")",You want to be at the subway.,You would like to travel by subway.,"OK, you want to take the subway."
i need to find a connection from *STOP queen,1,"inform(from_stop=""*STOP"")",request(to_stop),To where exactly?,To what direction?,To what direction?,i need to find a connection from Bowery queen,"inform(from_stop=""*STOP"")",request(to_stop),To where exactly?,To what direction?,To what direction?
i want to go to *STOP,12,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""*TO_STOP"")&request(from_stop)",You would like to travel to *TO_STOP. Where are you leaving from?,From where to *TO_STOP?,"OK, where would you like to go to *TO_STOP from?",i want to go to Houston Street,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""Houston Street"")&request(from_stop)",You would like to travel to Houston Street. Where are you leaving from?,From where to Houston Street?,"OK, where would you like to go to Houston Street from?"
could i get the duration,1,request(duration),"inform(duration=""*DURATION"")",It will take *DURATION.,The duration is *DURATION.,It takes *DURATION.,could i get the duration,request(duration),"inform(duration=""30 minutes"")",It will take 30 minutes.,The duration is 30 minutes.,It takes 30 minutes.
no i'm departing from *STOP and i'm going to *STOP,1,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform_no_match(from_stop=""*FROM_STOP"")&inform_no_match(to_stop=""*TO_STOP"")",Not found from *FROM_STOP to *TO_STOP.,A connection from *FROM_STOP to *TO_STOP is not found.,Sorry sir but I could not find any path from *FROM_STOP to *TO_STOP.,no i'm departing from Columbia University and i'm going to Cathedral Parkway,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform_no_match(from_stop=""Columbia University"")&inform_no_match(to_stop=""Cathedral Parkway"")",Not found from Columbia University to Cathedral Parkway.,A connection from Columbia University to Cathedral Parkway is not found.,Sorry sir but I could not find any path from Columbia University to Cathedral Parkway.
looking for *VEHICLE connection,1,"inform(vehicle=""*VEHICLE"")","iconfirm(vehicle=""*VEHICLE"")&request(from_stop)&request(to_stop)","By *VEHICLE, from what station and to what direction?","I understand you need a *VEHICLE connection, where would you like to go from and to where?","Take the *VEHICLE from where to where, sir?",looking for bus connection,"inform(vehicle=""bus"")","iconfirm(vehicle=""bus"")&request(from_stop)&request(to_stop)","By bus, from what station and to what direction?","I understand you need a bus connection, where would you like to go from and to where?","Take the bus from where to where, sir?"
for *NUMBER *AMPM,1,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")","inform(line=""*LINE"")&inform(direction=""*DIRECTION"")&inform(departure_time=""*DEPARTURE_TIME"")&inform(vehicle=""*VEHICLE"")&inform(from_stop=""*FROM_STOP"")",Take the line *LINE *VEHICLE at *DEPARTURE_TIME from *FROM_STOP towards *DIRECTION.,Take the *LINE *VEHICLE direction *DIRECTION from *FROM_STOP at *DEPARTURE_TIME.,"Yes, *VEHICLE line *LINE from *FROM_STOP to *DIRECTION at *DEPARTURE_TIME.",for nine pm,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")","inform(line=""M1"")&inform(direction=""Washington Square"")&inform(departure_time=""9:11pm"")&inform(vehicle=""bus"")&inform(from_stop=""Inwood"")",Take the line M1 bus at 9:11pm from Inwood towards Washington Square.,Take the M1 bus direction Washington Square from Inwood at 9:11pm.,"Yes, bus line M1 from Inwood to Washington Square at 9:11pm."
no is there a schedule at *NUMBER *AMPM,1,"inform(ampm=""*AMPM"")","iconfirm(ampm=""*AMPM"")",A schedule in the *AMPM.,"Yes, in the *AMPM.",You would like a schedule for the *AMPM.,no is there a schedule at *NUMBER am,"inform(ampm=""am"")","iconfirm(ampm=""am"")",A schedule in the am.,"Yes, in the morning.",You would like a schedule for the morning.
i would like *NUMBER o'clock *VEHICLE to *STOP,1,"inform(to_stop=""*STOP"")&inform(departure_time=""*TIME"")&inform(vehicle=""*VEHICLE"")","iconfirm(to_stop=""*TO_STOP"")&iconfirm(departure_time=""*DEPARTURE_TIME"")&iconfirm(vehicle=""*VEHICLE"")",I understand that you want to take the *DEPARTURE_TIME *VEHICLE to *TO_STOP.,You want a *VEHICLE to *TO_STOP at *DEPARTURE_TIME.,I understand that you want to take the *VEHICLE at *DEPARTURE_TIME to *TO_STOP.,i would like eight o'clock bus to Grand Street,"inform(to_stop=""*STOP"")&inform(departure_time=""*TIME"")&inform(vehicle=""bus"")","iconfirm(to_stop=""Grand Street"")&iconfirm(departure_time=""8:00"")&iconfirm(vehicle=""bus"")",I understand that you want to take the 8:00 bus to Grand Street.,You want a bus to Grand Street at 8:00.,I understand that you want to take the bus at 8:00 to Grand Street.
yes i would like to travel from *STOP to *STOP,1,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform_no_match(from_stop=""*FROM_STOP"")&inform_no_match(to_stop=""*TO_STOP"")",The trip from *FROM_STOP to *TO_STOP is not found.,I apologize but such a info not found from *FROM_STOP to *TO_STOP.,I did not find information about a connection from *FROM_STOP to *TO_STOP.,yes i would like to travel from Astor Place to Bleecker Street,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform_no_match(from_stop=""Astor Place"")&inform_no_match(to_stop=""Bleecker Street"")",The trip from Astor Place to Bleecker Street is not found.,I apologize but such a info not found from Astor Place to Bleecker Street.,I did not find information about a connection from Astor Place to Bleecker Street.
*NUMBER *AMPM take the *VEHICLE,1,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")","iconfirm(departure_time=""*DEPARTURE_TIME"")&iconfirm(ampm=""*AMPM"")&iconfirm(vehicle=""*VEHICLE"")&request(from_stop)&request(to_stop)","OK, so you want a *DEPARTURE_TIME *AMPM *VEHICLE. Where are you coming from and where are you trying to go to?",A *DEPARTURE_TIME *AMPM *VEHICLE. From where to where?,"I understand that you want to take the *DEPARTURE_TIME *AMPM *VEHICLE, but from where to where?",six pm take the subway,"inform(departure_time=""*TIME"")&inform(ampm=""pm"")&inform(vehicle=""subway"")","iconfirm(departure_time=""6:00"")&iconfirm(ampm=""pm"")&iconfirm(vehicle=""subway"")&request(from_stop)&request(to_stop)","OK, so you want a 6:00 pm subway. Where are you coming from and where are you trying to go to?",A 6:00 pm subway. From where to where?,"I understand that you want to take the 6:00 pm subway, but from where to where?"
to *STOP,3,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""*TO_STOP"")&request(from_stop)",You want to go to *TO_STOP. Where are you coming from?,You need to go to *TO_STOP but I need you to tell me where you come from?,Where do you want to go to *TO_STOP from?,to Wall Street,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""Wall Street"")&request(from_stop)",You want to go to Wall Street. Where are you coming from?,You need to go to Wall Street but I need you to tell me where you come from?,Where do you want to go to Wall Street from?
can i how about if i leave at *NUMBER *AMPM,1,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",request(from_stop)&request(to_stop),From what station and to what destination?,From where to where?,OK but I need you to tell me from where and to where do you want to go?,can i how about if i leave at ten pm,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",request(from_stop)&request(to_stop),From what station and to what destination?,From where to where?,OK but I need you to tell me from where and to where do you want to go?
my destination is *STOP c o r t l a n d t st-,1,"inform(to_stop=""*STOP"")","inform_no_match(to_stop=""*TO_STOP"")",I'm sorry I cannot find a connection to *TO_STOP.,Information for going to *TO_STOP is not found.,No route found to *TO_STOP.,my destination is Fulton Street c o r t l a n d t st-,"inform(to_stop=""*STOP"")","inform_no_match(to_stop=""Fulton Street"")",I'm sorry I cannot find a connection to Fulton Street.,Information for going to Fulton Street is not found.,No route found to Fulton Street.
is there a connection in *NUMBER minutes,1,"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")","inform(departure_time=""*DEPARTURE_TIME"")&inform(direction=""*DIRECTION"")&inform(vehicle=""*VEHICLE"")&inform(line=""*LINE"")&inform(from_stop=""*FROM_STOP"")",There is a *VEHICLE at *DEPARTURE_TIME going from *FROM_STOP to *DIRECTION using line *LINE.,Take *VEHICLE line *LINE at *DEPARTURE_TIME from *FROM_STOP to *DIRECTION.,*DEPARTURE_TIME in *DIRECTION there will be a *VEHICLE in *LINE *FROM_STOP.,is there a connection in ten minutes,"inform(departure_time_rel=""0:10_REL"")","inform(departure_time=""8:12am"")&inform(direction=""City Hall"")&inform(vehicle=""subway"")&inform(line=""Q"")&inform(from_stop=""Broad Street"")",There is a subway at 8:12am going from Broad Street to City Hall using line Q.,Take subway line Q at 8:12am from Broad Street to City Hall.,8:12am in City Hall there will be a subway in Q Broad Street.
from *STOP,6,"inform(from_stop=""*STOP"")","inform_no_match(from_stop=""*FROM_STOP"")",I'm sorry there is no connection from *FROM_STOP.,I'm sorry there no is method of transport available from *FROM_STOP.,"I'm sorry, but I was not able to find you a connection from *FROM_STOP.",from Houston Street,"inform(from_stop=""*STOP"")","inform_no_match(from_stop=""Houston Street"")",I'm sorry there is no connection from Houston Street.,I'm sorry there no is method of transport available from Houston Street.,"I'm sorry, but I was not able to find you a connection from Houston Street."
id like to find a *VEHICLE connection please,1,"inform(vehicle=""*VEHICLE"")","iconfirm(vehicle=""*VEHICLE"")",I understand you prefer to take the *VEHICLE.,You want to take the *VEHICLE.,"OK, you want a connection by *VEHICLE.",id like to find a bus connection please,"inform(vehicle=""bus"")","iconfirm(vehicle=""bus"")",I understand you prefer to take the bus.,You want to take the bus.,"OK, you want a connection by bus."
what about the connection at *NUMBER o'clock in the *AMPM i prefer to take the *VEHICLE,1,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")","iconfirm(departure_time=""*DEPARTURE_TIME"")&iconfirm(ampm=""*AMPM"")&iconfirm(vehicle=""*VEHICLE"")",You would like a *VEHICLE at *DEPARTURE_TIME *AMPM.,You ask about the *DEPARTURE_TIME *AMPM *VEHICLE connection.,You want a *DEPARTURE_TIME *AMPM *VEHICLE connection.,what about the connection at four o'clock in the afternoon i prefer to take the subway,"inform(departure_time=""4:00"")&inform(ampm=""pm"")&inform(vehicle=""subway"")","iconfirm(departure_time=""4:00"")&iconfirm(ampm=""pm"")&iconfirm(vehicle=""subway"")",You would like a subway at 4:00 pm.,You ask about the 4:00 pm subway connection.,You want a 4:00 pm subway connection.
i want a *VEHICLE connection from *STOP to *STOP,1,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")","iconfirm(from_stop=""*FROM_STOP"")&iconfirm(to_stop=""*TO_STOP"")&iconfirm(vehicle=""*VEHICLE"")",By *VEHICLE from *FROM_STOP to *TO_STOP.,You want a *VEHICLE from *FROM_STOP to *TO_STOP.,You want to know about a *VEHICLE connection from *FROM_STOP to *TO_STOP.,i want a bus connection from Rockefeller Center to Broad Street,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""bus"")","iconfirm(from_stop=""Rockefeller Center"")&iconfirm(to_stop=""Broad Street"")&iconfirm(vehicle=""bus"")",By bus from Rockefeller Center to Broad Street.,You want a bus from Rockefeller Center to Broad Street.,You want to know about a bus connection from Rockefeller Center to Broad Street.
ok i would like to go to *STOP,1,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""*TO_STOP"")&request(from_stop)",You want to go to *TO_STOP. Where are you starting?,You would like to travel to *TO_STOP. Where would you like to travel from?,"Go to *TO_STOP from where, sir?",ok i would like to go to Houston Street,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""Houston Street"")&request(from_stop)",You want to go to Houston Street. Where are you starting?,You would like to travel to Houston Street. Where would you like to travel from?,"Go to Houston Street from where, sir?"
i need -tation route departing from *STOP,1,"inform(from_stop=""*STOP"")","inform(from_stop=""*FROM_STOP"")&inform(departure_time=""*DEPARTURE_TIME"")&inform(direction=""*DIRECTION"")&inform(line=""*LINE"")&inform(vehicle=""*VEHICLE"")",From *FROM_STOP to *DIRECTION by *VEHICLE line *LINE at *DEPARTURE_TIME.,Take *VEHICLE line *LINE at *DEPARTURE_TIME from *FROM_STOP to *DIRECTION.,"Departing from *FROM_STOP at *DEPARTURE_TIME, take *VEHICLE line *LINE to *DIRECTION.",i need -tation route departing from Park Place,"inform(from_stop=""*STOP"")","inform(from_stop=""Park Place"")&inform(departure_time=""10:00am"")&inform(direction=""Astor Place"")&inform(line=""J"")&inform(vehicle=""subway"")",From Park Place to Astor Place by subway line J at 10:00am.,Take subway line J at 10:00am from Park Place to Astor Place.,"Departing from Park Place at 10:00am, take subway line J to Astor Place."
