type	abstr_utt	abstr_da	utt	da
apologize	i want to travel from *STOP to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	i want to travel from Penn Station to Columbia University	*=notfound, from_stop=Penn Station, to_stop=Columbia University
confirm-request	destination is *STOP	"inform(to_stop=""*STREET"")"	destination is Marble Hill	confirm: to_stop=Marble Hill; request: from_stop=?
request	-klin street and going to *STOP	"inform(to_stop=""*STOP"")"	-klin street and going to Bowery	from_stop=?
apologize	i would like to depart from *STOP	"confirm(from_stop=""*STREET"")"	i would like to depart from Chambers Street	*=notfound, from_stop=Chambers Street
reply	i need to know how to start from *STOP and get to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	i need to know how to start from Rector Street and get to Canal Street	direction=Canal Street, line=M79, vehicle=bus, from_stop=Rector Street, departure_time=9:05pm
reply	what is the arrival time	"request(arrival_time=""*ARRIVAL_TIME"")"	what is the arrival time	arrival_time=8:36pm
apologize	i'd like to go from *STOP to the	"inform(from_stop=""*STOP"")"	i'd like to go from Columbia University to the	*=notfound, from_stop=Columbia University
confirm-request	but i want to go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	but i want to go by subway	confirm: vehicle=subway; request: from_stop=?, to_stop=?
confirm	alright if i go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	alright if i go by subway	vehicle=subway
confirm	i am departing from *STOP and want to get to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	i am departing from Bleecker Street and want to get to Marble Hill	from_stop=Bleecker Street, to_stop=Marble Hill
confirm-request	my destination is *STOP	"inform(to_stop=""*STREET"")"	my destination is Bryant Park	confirm: to_stop=Bryant Park; request: from_stop=?
confirm	and i want to go to *STOP	"inform(to_stop=""*STREET"")"	and i want to go to Central Park	to_stop=Central Park
confirm-request	is there a schedule at *NUMBER o'clock *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	is there a schedule at ten o'clock pm	confirm: departure_time=10:00, ampm=pm; request: from_stop=?, to_stop=?
confirm-request	i'd like to leave at *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	i'd like to leave at eight pm	confirm: departure_time=8:00, ampm=pm; request: from_stop=?, to_stop=?
request	what if i leave at *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	what if i leave at seven am	from_stop=?, to_stop=?
confirm	is there a time i can leave at *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	is there a time i can leave at eight am	departure_time=8:00, ampm=am
apologize	*STOP to bleeker street	"inform(from_stop=""*STOP"")"	Penn Station to bleeker street	*=notfound, from_stop=Penn Station
reply	is there a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	is there a subway connection	line=J, departure_time=6:03pm, from_stop=Astor Place, direction=Rector Street, vehicle=subway
confirm	i want a *VEHICLE connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	i want a bus connection from Rockefeller Center to Broad Street	from_stop=Rockefeller Center, to_stop=Broad Street, vehicle=bus
request	i'd like to go from *STOP to the	"inform(from_stop=""*STOP"")"	i'd like to go from Essex Street to the	to_stop=?
confirm	i would like to go from *STOP to *STOP	"inform(to_stop=""*STREET"")&inform(from_stop=""*STOP"")"	i would like to go from City Hall to Union Square	to_stop=Union Square, from_stop=City Hall
apologize	i need to find a connection from *STOP queen	"inform(from_stop=""*STREET"")"	i need to find a connection from Cortlandt Street queen	*=notfound, from_stop=Cortlandt Street
reply	then i would like to get a *NUMBER o'clock travel to *STOP	"inform(to_stop=""*STOP"")&inform(arrival_time=""*ARRIVAL_TIME"")"	then i would like to get a zero o'clock travel to Chambers Street	direction=Chambers Street, from_stop=Grand Central, line=F, departure_time=11:10am, vehicle=subway
confirm-request	i want to travel from *STOP	"inform(from_stop=""*STREET"")"	i want to travel from City Hall	confirm: from_stop=City Hall; request: to_stop=?
confirm-request	i am traveling to *STOP	"inform(to_stop=""*STOP"")"	i am traveling to Fulton Street	confirm: to_stop=Fulton Street; request: from_stop=?
reply	is there a ride at a later time	"inform(alternative=""next"")"	is there a ride at a later time	departure_time=8:16am, vehicle=bus, from_stop=Franklin Street, line=M57, direction=Wall Street
request	and i want to go to *STOP	"inform(to_stop=""*STREET"")"	and i want to go to Inwood	from_stop=?
confirm	i need a public transit route from *STOP to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	i need a public transit route from Lincoln Center to Cathedral Parkway	from_stop=Lincoln Center, to_stop=Cathedral Parkway
apologize	yes i would like to take the *VEHICLE	"inform(vehicle=""*VEHICLE"")"	yes i would like to take the bus	*=notfound, vehicle=bus
reply	yes and how long will it take to get there	request(duration)	yes and how long will it take to get there	duration=12 minutes
confirm-request	i need a *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	i need a two pm	confirm: departure_time=2:00, ampm=pm; request: from_stop=?, to_stop=?
confirm	i would like to leave or depart at *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	i would like to leave or depart at four pm	departure_time=4:00, ampm=pm
request	i would like to search for a route leaving from *STOP to 	"inform(from_stop=""*STREET"")"	i would like to search for a route leaving from Wall Street to 	to_stop=?
confirm	i would like my departure time at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	i would like my departure time at nine pm	departure_time=9:00, ampm=pm
reply	rather take the *VEHICLE	"inform(vehicle=""*VEHICLE"")"	rather take the bus	departure_time=4:02pm, line=M34, direction=Grand Street, from_stop=Union Square, vehicle=bus
apologize	is there a later time	"inform(alternative=""next"")"	is there a later time	*=notfound, alternative=next
apologize	i would like to search for a route leaving from *STOP to 	"inform(from_stop=""*STREET"")"	i would like to search for a route leaving from Essex Street to 	*=notfound, from_stop=Essex Street
confirm-request	is there *NUMBER at *NUMBER o'clock in the *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	is there four at four o'clock in the afternoon	confirm: departure_time=4:00, ampm=pm; request: from_stop=?, to_stop=?
confirm-request	i am going to *STOP	"inform(to_stop=""*STOP"")"	i am going to Cortlandt Street	confirm: to_stop=Cortlandt Street; request: from_stop=?
reply	and how many transfers	request(num_transfers)	and how many transfers	num_transfers=2
request	destination is *STOP	"inform(to_stop=""*STOP"")"	destination is Marble Hill	from_stop=?
apologize	i want to go to *STOP	"inform(to_stop=""*STREET"")"	i want to go to Park Place	*=notfound, to_stop=Park Place
request	no i want a *VEHICLE option	"inform(vehicle=""*VEHICLE"")"	no i want a subway option	from_stop=?, to_stop=?
reply	use *VEHICLE	"inform(vehicle=""*VEHICLE"")"	use bus	from_stop=Bowery, line=M11, departure_time=7:14am, vehicle=bus, direction=Essex Street
confirm	ok i want to go to *STOP	"inform(to_stop=""*STREET"")"	ok i want to go to Columbus Circle	to_stop=Columbus Circle
confirm-request	street at *NUMBER o'clock *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	street at five o'clock pm	confirm: departure_time=5:00, ampm=pm; request: from_stop=?, to_stop=?
confirm	yes i'm looking for transportation from *STOP to	"inform(from_stop=""*STREET"")"	yes i'm looking for transportation from Roosevelt Island to	from_stop=Roosevelt Island
confirm	can i get an alternative at *NUMBER in the *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	can i get an alternative at ten in the morning	departure_time=10:00, ampm=am
request	is there a connection at *NUMBER in the *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	is there a connection at nine in the morning	from_stop=?, to_stop=?
reply	number of transfers	request(num_transfers)	number of transfers	num_transfers=1
reply	and i want to go to *STOP	"inform(to_stop=""*STREET"")"	and i want to go to Astor Place	vehicle=bus, line=M34, departure_time=2:14pm, direction=Astor Place, from_stop=Columbus Circle
confirm-request	same destination in the *AMPM at *NUMBER	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	same destination in the evening at ten	confirm: departure_time=10:00, ampm=pm; request: from_stop=?, to_stop=?
confirm	can i get a ride at *NUMBER in the *AMPM and i want to go by *VEHICLE	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")"	can i get a ride at ten in the morning and i want to go by subway	departure_time=10:00, ampm=am, vehicle=subway
apologize	i wanna go to *STOP	"inform(to_stop=""*STOP"")"	i wanna go to Cathedral Parkway	*=notfound, to_stop=Cathedral Parkway
confirm-request	i am leaving from *STOP and heading towards *STOP	"inform(from_stop=""*STREET"")"	i am leaving from Bowery and heading towards *STOP	confirm: from_stop=Bowery; request: to_stop=?
apologize	yes i would like to leave later at *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	yes i would like to leave later at seven pm	*=notfound, departure_time=7:00, ampm=pm
confirm	i'd like to leave at *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	i'd like to leave at eight pm	departure_time=8:00, ampm=pm
request	in *NUMBER minutes	"inform(departure_time_rel=""*TIME_REL"")"	in twenty minutes	from_stop=?, to_stop=?
apologize	i am departing from *STOP and want to get to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	i am departing from Wall Street and want to get to Union Square	*=notfound, from_stop=Wall Street, to_stop=Union Square
confirm-request	can i change the destination to *STOP	"inform(to_stop=""*STOP"")"	can i change the destination to Chambers Street	confirm: to_stop=Chambers Street; request: from_stop=?
request	is there a schedule for *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	is there a schedule for two pm	from_stop=?, to_stop=?
confirm	no i want to arrive at *STOP	"inform(to_stop=""*STREET"")"	no i want to arrive at Marble Hill	to_stop=Marble Hill
confirm-reply	time requirement for a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")&request(duration)"	time requirement for a subway connection	confirm: vehicle=subway; reply: duration=41 minutes
request	i need to know how to depart from *STOP and finish at *STOP	"confirm(from_stop=""*STREET"")"	i need to know how to depart from Chambers Street and finish at *STOP	to_stop=?
confirm	i am travelling from *STOP and my destination is *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	i am travelling from Lincoln Center and my destination is Herald Square	from_stop=Lincoln Center, to_stop=Herald Square
confirm	schedule at *NUMBER in the *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	schedule at nine in the evening	departure_time=9:00, ampm=pm
apologize	yes i want to depart from *STOP	"confirm(from_stop=""*STREET"")"	yes i want to depart from Penn Station	*=notfound, from_stop=Penn Station
confirm	*NUMBER o'clock	"inform(departure_time=""*TIME"")"	nine o'clock	departure_time=9:00
request	instead of going to *STOP i'd like to g-	"inform(to_stop=""*STOP"")"	instead of going to Essex Street i'd like to g-	from_stop=?
reply	is there an option for *NUMBER o'clock in the *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	is there an option for ten o'clock in the morning	departure_time=10:16am, direction=Franklin Street, line=F, from_stop=World Trade Center, vehicle=subway
reply	how long will it take to get there	request(duration)	how long will it take to get there	duration=27 minutes
reply	i want to get to *STOP	"inform(to_stop=""*STOP"")"	i want to get to Broad Street	departure_time=8:01am, vehicle=subway, from_stop=Franklin Street, direction=Broad Street, line=7
request	is there a connection at *NUMBER o'clock *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	is there a connection at twelve o'clock pm	from_stop=?, to_stop=?
reply	what is the distance	request(distance)	what is the distance	distance=5.6 miles
apologize	*VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	bus connection	*=notfound, vehicle=bus
apologize	and i want to go to *STOP	"inform(to_stop=""*STREET"")"	and i want to go to Columbia University	*=notfound, to_stop=Columbia University
reply	search for a route *NUMBER *AMPM to *STOP	"inform(to_stop=""*STREET"")&inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	search for a route six pm to Columbus Circle	departure_time=6:17pm, from_stop=Bleecker Street, line=Z, direction=Columbus Circle, vehicle=subway
apologize	so i want to find a connection from *STOP	"inform(from_stop=""*STREET"")"	so i want to find a connection from Penn Station	*=notfound, from_stop=Penn Station
confirm-reply	and i would like to know the duration of the trip and find out the connections at *NUMBER *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&request(duration)"	and i would like to know the duration of the trip and find out the connections at seven thirty am	confirm: departure_time=7:30, ampm=am; reply: duration=45 minutes
confirm	i need a public transit route from departing from *STOP	"inform(from_stop=""*STREET"")"	i need a public transit route from departing from Cortlandt Street	from_stop=Cortlandt Street
confirm-request	i would like to leave or depart at *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	i would like to leave or depart at four pm	confirm: departure_time=4:00, ampm=pm; request: from_stop=?, to_stop=?
confirm	i want to go i want to go from *STOP	"inform(from_stop=""*STREET"")"	i want to go i want to go from City Hall	from_stop=City Hall
request	i need a connection at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	i need a connection at eight pm	from_stop=?, to_stop=?
apologize	i would like to go from *STOP	"inform(from_stop=""*STREET"")"	i would like to go from Cathedral Parkway	*=notfound, from_stop=Cathedral Parkway
confirm-request	yes i want to depart from *STOP	"confirm(from_stop=""*STREET"")"	yes i want to depart from Central Park	confirm: from_stop=Central Park; request: to_stop=?
confirm	no i want to go from *STOP	"inform(from_stop=""*STREET"")"	no i want to go from Times Square	from_stop=Times Square
confirm	is there a later alternative	"inform(alternative=""next"")"	is there a later alternative	alternative=next
confirm	what is the next connection from *STOP	"inform(from_stop=""*STOP"")&inform(alternative=""next"")"	what is the next connection from Houston Street	from_stop=Houston Street, alternative=next
reply	i would like to travel from *STOP to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STOP"")"	i would like to travel from Inwood to Bleecker Street	vehicle=subway, direction=Bleecker Street, from_stop=Inwood, line=E, departure_time=9:13am
apologize	i would like to go from *STOP to *STOP	"inform(to_stop=""*STREET"")&inform(from_stop=""*STOP"")"	i would like to go from Bowling Green to Bowery	*=notfound, to_stop=Bowery, from_stop=Bowling Green
confirm	same destination in the *AMPM at *NUMBER	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	same destination in the evening at ten	departure_time=10:00, ampm=pm
request	is there a connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	is there a connection in half an hour	from_stop=?, to_stop=?
reply	is there a schedule at a later time	"inform(alternative=""next"")"	is there a schedule at a later time	line=M86, from_stop=Columbus Circle, vehicle=bus, direction=Cathedral Parkway, departure_time=9:11pm
reply	transit schedule from *STOP to *STOP	"inform(to_stop=""*STREET"")&inform(from_stop=""*STOP"")"	transit schedule from Washington Square to Bowery	from_stop=Washington Square, direction=Bowery, departure_time=10:18am, line=M34, vehicle=bus
confirm-request	no is there an option at *NUMBER *AMPM	"inform(ampm=""*AMPM"")"	no is there an option at *NUMBER pm	confirm: ampm=pm; request: from_stop=?, to_stop=?
reply	how much time does that take	request(duration)	how much time does that take	duration=14 minutes
apologize	connection to *STOP	"inform(to_stop=""*STREET"")"	connection to Broad Street	*=notfound, to_stop=Broad Street
request	i'd like to depart from *STOP	"confirm(from_stop=""*STREET"")"	i'd like to depart from Canal Street	to_stop=?
apologize	id like to find a *VEHICLE connection please	"inform(vehicle=""*VEHICLE"")"	id like to find a bus connection please	*=notfound, vehicle=bus
confirm-request	connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	connection in thirty minutes	confirm: departure_time_rel=0:30; request: from_stop=?, to_stop=?
apologize	change my destination to *STOP	"inform(to_stop=""*STOP"")"	change my destination to Columbia University	*=notfound, to_stop=Columbia University
reply	ask about the time requirement	request(duration)	ask about the time requirement	duration=48 minutes
confirm-reply	i'm saying i want to go to *STOP and i know i want to know how long it will take	"inform(to_stop=""*STREET"")&request(duration)"	i'm saying i want to go to Bowling Green and i know i want to know how long it will take	confirm: to_stop=Bowling Green; reply: duration=54 minutes
reply	i want to go from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	i want to go from Penn Station to Bleecker Street	vehicle=subway, direction=Bleecker Street, departure_time=9:04pm, from_stop=Penn Station, line=J
apologize	yes i am leaving from *STOP and i would like to get to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	yes i am leaving from Penn Station and i would like to get to World Trade Center	*=notfound, from_stop=Penn Station, to_stop=World Trade Center
reply	can i get a ride at *NUMBER in the *AMPM and i want to go by *VEHICLE	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")"	can i get a ride at eight in the evening and i want to go by subway	direction=Broad Street, departure_time=8:16pm, vehicle=subway, line=E, from_stop=Franklin Street
apologize	what about the next ride	"inform(alternative=""next"")"	what about the next ride	*=notfound, alternative=next
confirm-request	i'm changing go to *STOP	"inform(to_stop=""*STOP"")"	i'm changing go to Grand Central	confirm: to_stop=Grand Central; request: from_stop=?
request	i would like to go to *STOP	"inform(to_stop=""*STREET"")"	i would like to go to Grand Central	from_stop=?
apologize	alright if i go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	alright if i go by bus	*=notfound, vehicle=bus
apologize	i want to find a *VEHICLE connection from *STOP from	"inform(from_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	i want to find a bus connection from Houston Street from	*=notfound, from_stop=Houston Street, vehicle=bus
confirm-request	starting from *STOP	"inform(from_stop=""*STOP"")"	starting from Rockefeller Center	confirm: from_stop=Rockefeller Center; request: to_stop=?
apologize	connection from *STOP to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STOP"")"	connection from Broad Street to East Broadway	*=notfound, from_stop=Broad Street, to_stop=East Broadway
confirm	yes *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	yes eleven am	departure_time=11:00, ampm=am
reply	how long will it take to get to *STOP	"inform(to_stop=""*STOP"")&request(duration)"	how long will it take to get to Broad Street	duration=74 minutes
reply	i am departing from *STOP and want to get to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	i am departing from Park Place and want to get to Lincoln Center	line=M20, vehicle=bus, from_stop=Park Place, departure_time=3:11pm, direction=Lincoln Center
apologize	thank you i need to at *NUMBER oclock and on a *VEHICLE to *STOP	"inform(to_stop=""*STREET"")&inform(departure_time=""*TIME"")&inform(vehicle=""*VEHICLE"")"	thank you i need to at ten oclock and on a bus to Herald Square	*=notfound, to_stop=Herald Square, departure_time=10:00, vehicle=bus
confirm-request	can i get a ride at *NUMBER in the *AMPM and i want to go by *VEHICLE	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")"	can i get a ride at ten in the morning and i want to go by subway	confirm: departure_time=10:00, ampm=am, vehicle=subway; request: from_stop=?, to_stop=?
apologize	i rather take the *VEHICLE	"inform(vehicle=""*VEHICLE"")"	i rather take the bus	*=notfound, vehicle=bus
confirm	okay what if i'd rather ride the *VEHICLE	"inform(vehicle=""*VEHICLE"")"	okay what if i'd rather ride the subway	vehicle=subway
request	i'm changing go to *STOP	"inform(to_stop=""*STOP"")"	i'm changing go to City Hall	from_stop=?
reply	yes connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	yes connection in ten minutes	departure_time=8:13am, direction=Penn Station, from_stop=Bowery, vehicle=bus, line=M8
apologize	i want to find a connection from *STOP man	"inform(from_stop=""*STREET"")"	i want to find a connection from City Hall man	*=notfound, from_stop=City Hall
apologize	last connection	"inform(alternative=""last"")"	last connection	*=notfound, alternative=last
request	ok can i go to *STOP	"inform(to_stop=""*STOP"")"	ok can i go to Herald Square	from_stop=?
confirm-reply	how long will it take to get to *STOP from *STOP	"inform(to_stop=""*STREET"")&inform(from_stop=""*STREET"")&request(duration)"	how long will it take to get to Grand Central from East Broadway	confirm: to_stop=Grand Central, from_stop=East Broadway; reply: duration=45 minutes
confirm-request	i would rather go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	i would rather go by subway	confirm: vehicle=subway; request: from_stop=?, to_stop=?
confirm	i want to go at *NUMBER *AMPM by *VEHICLE	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")"	i want to go at eight am by subway	departure_time=8:00, ampm=am, vehicle=subway
reply	ok and i need to find out the connection in a *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	ok and i need to find out the connection in a half an hour	vehicle=subway, direction=Houston Street, departure_time=10:02am, from_stop=Delancey Street, line=G
request	i would like the *VEHICLE connection from *STOP	"inform(from_stop=""*STREET"")&inform(vehicle=""*VEHICLE"")"	i would like the subway connection from Delancey Street	to_stop=?
confirm	my destination is *STOP c o r t l a n d t st-	"inform(to_stop=""*STREET"")"	my destination is Essex Street c o r t l a n d t st-	to_stop=Essex Street
confirm-request	is there a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	is there a bus connection	confirm: vehicle=bus; request: from_stop=?, to_stop=?
reply	what is the duration of this trip	request(duration)	what is the duration of this trip	duration=51 minutes
confirm-request	ok what if i leave at around *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	ok what if i leave at around eight pm	confirm: departure_time=8:00, ampm=pm; request: from_stop=?, to_stop=?
reply	-each the destination and what time will i be there	"request(arrival_time=""*ARRIVAL_TIME"")"	-each the destination and what time will i be there	arrival_time=5:28pm
confirm	i need a connection at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	i need a connection at seven pm	departure_time=7:00, ampm=pm
reply	give me the number of transfers	request(num_transfers)	give me the number of transfers	num_transfers=0
reply	how long does that take 	request(duration)	how long does that take 	duration=56 minutes
confirm	no from *STOP	"inform(from_stop=""*STREET"")"	no from East Broadway	from_stop=East Broadway
confirm	i want to go from *STOP to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STOP"")"	i want to go from Union Square to Herald Square	from_stop=Union Square, to_stop=Herald Square
confirm-request	for *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	for eight am	confirm: departure_time=8:00, ampm=am; request: from_stop=?, to_stop=?
reply	i would like to go to *STOP	"inform(to_stop=""*STREET"")"	i would like to go to Canal Street	line=M104, from_stop=East Broadway, vehicle=bus, direction=Canal Street, departure_time=10:12am
confirm	how long will it take to go from *STOP to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")&request(duration)"	how long will it take to go from Dyckman Street to Grand Street	from_stop=Dyckman Street, to_stop=Grand Street
confirm-request	no i want to go from *STOP	"inform(from_stop=""*STREET"")"	no i want to go from Times Square	confirm: from_stop=Times Square; request: to_stop=?
confirm	i'm traveling from *STOP	"inform(from_stop=""*STOP"")"	i'm traveling from Cortlandt Street	from_stop=Cortlandt Street
confirm	can i go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	can i go by bus	vehicle=bus
request	my destination is *STOP	"inform(to_stop=""*STREET"")"	my destination is Wall Street	from_stop=?
reply	i would like to go to *STOP	"inform(to_stop=""*STOP"")"	i would like to go to Fulton Street	line=F, departure_time=7:01pm, vehicle=subway, from_stop=Port Authority Bus Terminal, direction=Fulton Street
confirm	i would like to go from *STOP to	"inform(from_stop=""*STREET"")"	i would like to go from Marble Hill to	from_stop=Marble Hill
apologize	no is there a schedule at *NUMBER *AMPM	"inform(ampm=""*AMPM"")"	no is there a schedule at *NUMBER am	*=notfound, ampm=am
confirm	and what time would the next connection be	"request(departure_time=""*DEPARTURE_TIME"")&inform(alternative=""next"")"	and what time would the next connection be	alternative=next
reply	duration number of transfers and distance	request(num_transfers)&request(distance)	duration number of transfers and distance	distance=11.1 miles, num_transfers=2
apologize	yes i am still here can we take the *VEHICLE 	"inform(vehicle=""*VEHICLE"")"	yes i am still here can we take the subway 	*=notfound, vehicle=subway
apologize	i want to travel from *STOP to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STOP"")"	i want to travel from Port Authority Bus Terminal to Times Square	*=notfound, from_stop=Port Authority Bus Terminal, to_stop=Times Square
confirm	*STOP going to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	Dyckman Street going to Penn Station	from_stop=Dyckman Street, to_stop=Penn Station
reply	from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	from Franklin Street to Canal Street	vehicle=subway, direction=Canal Street, departure_time=9:18pm, line=D, from_stop=Franklin Street
request	going to *STOP	"inform(to_stop=""*STREET"")"	going to Houston Street	from_stop=?
request	i want to go to *STOP	"inform(to_stop=""*STREET"")"	i want to go to East Broadway	from_stop=?
confirm-request	i need to find a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	i need to find a subway connection	confirm: vehicle=subway; request: from_stop=?, to_stop=?
confirm	rather take the *VEHICLE	"inform(vehicle=""*VEHICLE"")"	rather take the bus	vehicle=bus
confirm-request	i want to travel to *STOP	"inform(to_stop=""*STOP"")"	i want to travel to Central Park	confirm: to_stop=Central Park; request: from_stop=?
reply	how far is the trip	request(distance)	how far is the trip	distance=2.8 miles
reply	i'm travelling from *STOP to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	i'm travelling from Columbus Circle to Inwood	line=1, direction=Inwood, from_stop=Columbus Circle, departure_time=8:16am, vehicle=subway
apologize	yes can i have a connection to from *STOP to ro	"inform(from_stop=""*STREET"")"	yes can i have a connection to from Houston Street to ro	*=notfound, from_stop=Houston Street
confirm	i would like to search for a route leaving from *STOP to 	"inform(from_stop=""*STREET"")"	i would like to search for a route leaving from Franklin Street to 	from_stop=Franklin Street
apologize	i want to go depart from *STOP to *STOP	"confirm(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	i want to go depart from Penn Station to Bowling Green	*=notfound, from_stop=Penn Station, to_stop=Bowling Green
confirm-reply	when is the next connection	"request(departure_time=""*DEPARTURE_TIME"")&inform(alternative=""next"")"	when is the next connection	confirm: alternative=next; reply: departure_time=6:44pm
apologize	yes i'd like to go from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	yes i'd like to go from Rockefeller Center to Cathedral Parkway	*=notfound, from_stop=Rockefeller Center, to_stop=Cathedral Parkway
apologize	public transport from *STOP to *STOP 	"inform(from_stop=""*STREET"")&inform(to_stop=""*STOP"")"	public transport from Canal Street to Delancey Street 	*=notfound, from_stop=Canal Street, to_stop=Delancey Street
reply	how many transfers and distance of this trip	request(num_transfers)&request(distance)	how many transfers and distance of this trip	distance=6.4 miles, num_transfers=2
reply	i want to go from *STOP to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STOP"")"	i want to go from Times Square to Union Square	departure_time=10:14pm, vehicle=subway, direction=Union Square, line=L, from_stop=Times Square
confirm-request	connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	connection in half an hour	confirm: departure_time_rel=0:30; request: from_stop=?, to_stop=?
confirm	i want to go from *STOP to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	i want to go from Washington Square to Times Square	from_stop=Washington Square, to_stop=Times Square
reply	is there an alternative later time	"inform(alternative=""next"")"	is there an alternative later time	from_stop=Park Place, vehicle=bus, line=M72, direction=Prince Street, departure_time=4:13pm
