type	abstr_utt	abstr_da	utt	da
reply	how many transfers	request(num_transfers)	how many transfers	num_transfers=1
reply	how many transfers will there be	request(num_transfers)	how many transfers will there be	num_transfers=0
reply	give me a connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	give me a connection from Broad Street to Rector Street	from_stop=Broad Street, line=B, vehicle=subway, direction=Rector Street, departure_time=7:12am
apologize	give me a connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	give me a connection from Bleecker Street to Bowling Green	*=notfound, from_stop=Bleecker Street, to_stop=Bowling Green
confirm	give me a connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	give me a connection from Central Park to Washington Square	from_stop=Central Park, to_stop=Washington Square
reply	give me the number of transfers	request(num_transfers)	give me the number of transfers	num_transfers=0
reply	*NUMBER minutes	"inform(time=""*TIME"")"	seven minutes	line=F, from_stop=Rockefeller Center, departure_time=7:12pm, direction=Lincoln Center, vehicle=subway
reply	i need a connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	i need a connection in one minutes	departure_time=8:00am, vehicle=subway, from_stop=Franklin Street, direction=Wall Street, line=N
apologize	i need a connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	i need a connection in three minutes	*=notfound, departure_time_rel=3:00
request	i need a connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	i need a connection in two minutes	from_stop=?, to_stop=?
confirm-request	i need a connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	i need a connection in zero minutes	confirm: departure_time_rel=0:00; request: from_stop=?, to_stop=?
confirm	i need a connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	i need a connection in zero minutes	departure_time_rel=0:00
reply	i need a *VEHICLE connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	i need a bus connection from Columbia University to Grand Central	departure_time=11:16am, direction=Grand Central, vehicle=bus, from_stop=Columbia University, line=M7
apologize	i need a *VEHICLE connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	i need a subway connection from Wall Street to Washington Square	*=notfound, from_stop=Wall Street, to_stop=Washington Square, vehicle=subway
confirm	i need a *VEHICLE connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	i need a bus connection from Central Park to Columbia University	from_stop=Central Park, to_stop=Columbia University, vehicle=bus
reply	i need a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	i need a bus connection	from_stop=Essex Street, direction=Marble Hill, vehicle=bus, departure_time=7:04am, line=M9
apologize	i need a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	i need a bus connection	*=notfound, vehicle=bus
request	i need a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	i need a subway connection	from_stop=?, to_stop=?
confirm-request	i need a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	i need a bus connection	confirm: vehicle=bus; request: from_stop=?, to_stop=?
confirm	i need a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	i need a bus connection	vehicle=bus
reply	i need the distance of the trip	request(distance)	i need the distance of the trip	distance=8.2 miles
reply	i need to find a connection from *STOP queen	"inform(from_stop=""*STREET"")"	i need to find a connection from Astor Place queen	line=A, departure_time=1:09pm, vehicle=subway, from_stop=Astor Place, direction=Washington Square
apologize	i need to find a connection from *STOP queen	"inform(from_stop=""*STREET"")"	i need to find a connection from Park Place queen	*=notfound, from_stop=Park Place
request	i need to find a connection from *STOP queen	"inform(from_stop=""*STREET"")"	i need to find a connection from Herald Square queen	to_stop=?
confirm-request	i need to find a connection from *STOP queen	"inform(from_stop=""*STREET"")"	i need to find a connection from Dyckman Street queen	confirm: from_stop=Dyckman Street; request: to_stop=?
confirm	i need to find a connection from *STOP queen	"inform(from_stop=""*STREET"")"	i need to find a connection from Dyckman Street queen	from_stop=Dyckman Street
reply	i need to find a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	i need to find a bus connection	vehicle=bus, departure_time=7:06am, direction=Dyckman Street, line=M5, from_stop=City Hall
apologize	i need to find a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	i need to find a subway connection	*=notfound, vehicle=subway
request	i need to find a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	i need to find a subway connection	from_stop=?, to_stop=?
confirm-request	i need to find a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	i need to find a bus connection	confirm: vehicle=bus; request: from_stop=?, to_stop=?
confirm	i need to find a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	i need to find a bus connection	vehicle=bus
reply	i need to find out about a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	i need to find out about a bus connection	direction=Prince Street, from_stop=Grand Central, line=M101, departure_time=6:06pm, vehicle=bus
apologize	i need to find out about a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	i need to find out about a subway connection	*=notfound, vehicle=subway
request	i need to find out about a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	i need to find out about a subway connection	from_stop=?, to_stop=?
confirm-request	i need to find out about a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	i need to find out about a subway connection	confirm: vehicle=subway; request: from_stop=?, to_stop=?
confirm	i need to find out about a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	i need to find out about a subway connection	vehicle=subway
reply	i need to find out the connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	i need to find out the connection in zero minutes	line=N, departure_time=10:12am, vehicle=subway, direction=Bleecker Street, from_stop=Washington Square
apologize	i need to find out the connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	i need to find out the connection in zero minutes	*=notfound, departure_time_rel=0:00
request	i need to find out the connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	i need to find out the connection in zero minutes	from_stop=?, to_stop=?
confirm-request	i need to find out the connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	i need to find out the connection in four minutes	confirm: departure_time_rel=4:00; request: from_stop=?, to_stop=?
confirm	i need to find out the connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	i need to find out the connection in four minutes	departure_time_rel=4:00
reply	i need to find the *VEHICLE connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	i need to find the subway connection from World Trade Center to Canal Street	vehicle=subway, direction=Canal Street, departure_time=11:12am, line=J, from_stop=World Trade Center
apologize	i need to find the *VEHICLE connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	i need to find the bus connection from Grand Central to Dyckman Street	*=notfound, from_stop=Grand Central, to_stop=Dyckman Street, vehicle=bus
confirm	i need to find the *VEHICLE connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	i need to find the subway connection from Fulton Street to Cortlandt Street	from_stop=Fulton Street, to_stop=Cortlandt Street, vehicle=subway
reply	i need to go from *STOP to *STOP and *NUMBER second	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	i need to go from Prince Street to East Broadway and *NUMBER second	line=M, departure_time=9:02am, direction=East Broadway, vehicle=subway, from_stop=Prince Street
apologize	i need to go from *STOP to *STOP and *NUMBER second	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	i need to go from Roosevelt Island to Park Place and *NUMBER second	*=notfound, from_stop=Roosevelt Island, to_stop=Park Place
confirm	i need to go from *STOP to *STOP and *NUMBER second	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	i need to go from Grand Street to World Trade Center and *NUMBER second	from_stop=Grand Street, to_stop=World Trade Center
reply	i need to know the duration of the trip and find out connection at *NUMBER pm	"inform(departure_time=""*DEPARTURE_TIME"")&request(duration)"	i need to know the duration of the trip and find out connection at seven pm	duration=46 minutes
confirm-reply	i need to know the duration of the trip and find out connection at *NUMBER pm	"inform(departure_time=""*DEPARTURE_TIME"")&request(duration)"	i need to know the duration of the trip and find out connection at eleven pm	confirm: departure_time=11:00; reply: duration=46 minutes
confirm	i need to know the duration of the trip and find out connection at *NUMBER pm	"inform(departure_time=""*DEPARTURE_TIME"")&request(duration)"	i need to know the duration of the trip and find out connection at eleven pm	departure_time=11:00
reply	i need to know the duration of the trip	request(duration)	i need to know the duration of the trip	duration=42 minutes
reply	duration number of transfers and distance	request(num_transfers)&request(distance)	duration number of transfers and distance	distance=4.3 miles, num_transfers=0
reply	at *NUMBER *NUMBER	"inform(time=""*TIME"")"	at nine nine	line=1, vehicle=subway, from_stop=Rockefeller Center, direction=Dyckman Street, departure_time=9:17am
reply	at *NUMBER pm	"inform(time=""*TIME"")"	at ten pm	vehicle=subway, from_stop=Penn Station, line=Q, direction=Park Place, departure_time=10:15pm
reply	in *NUMBER an hour	"inform(time_rel=""*TIME_REL"")"	in half an hour	departure_time=1:14pm, direction=World Trade Center, line=1, from_stop=Washington Square, vehicle=subway
reply	in *NUMBER minutes	"inform(time_rel=""*TIME_REL"")"	in four minutes	from_stop=Fulton Street, direction=Bowery, departure_time=11:08am, line=5, vehicle=subway
reply	*NUMBER o'clock	"inform(time=""*TIME"")"	seven o'clock	from_stop=Fulton Street, direction=Park Place, line=M20, departure_time=7:02pm, vehicle=bus
reply	distance of the trip	request(distance)	distance of the trip	distance=3.6 miles
reply	distance of trip	request(distance)	distance of trip	distance=4.6 miles
reply	number of transfers and distance of the trip	request(num_transfers)&request(distance)	number of transfers and distance of the trip	distance=9.1 miles, num_transfers=2
reply	number of transfers	request(num_transfers)	number of transfers	num_transfers=2
reply	distance	request(distance)	distance	distance=11.6 miles
reply	time requirement for a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")&request(duration)"	time requirement for a bus connection	duration=75 minutes
confirm-reply	time requirement for a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")&request(duration)"	time requirement for a subway connection	confirm: vehicle=subway; reply: duration=75 minutes
confirm	time requirement for a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")&request(duration)"	time requirement for a subway connection	vehicle=subway
reply	time requirement	request(duration)	time requirement	duration=66 minutes
reply	time requirements and next connection	"request(duration)&inform(alternative=""next"")"	time requirements and next connection	duration=37 minutes
confirm-reply	time requirements and next connection	"request(duration)&inform(alternative=""next"")"	time requirements and next connection	confirm: alternative=next; reply: duration=37 minutes
confirm	time requirements and next connection	"request(duration)&inform(alternative=""next"")"	time requirements and next connection	alternative=next
reply	time requirements	request(duration)	time requirements	duration=64 minutes
reply	the second option	"inform(alternative=""2"")"	the second option	departure_time=11:17pm, from_stop=Union Square, line=M50, vehicle=bus, direction=Bowery
apologize	the second option	"inform(alternative=""2"")"	the second option	*=notfound, alternative=2
confirm	the second option	"inform(alternative=""2"")"	the second option	alternative=2
reply	from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	from Park Place to Houston Street	departure_time=10:15pm, from_stop=Park Place, vehicle=bus, line=M96, direction=Houston Street
apologize	from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	from Rector Street to Canal Street	*=notfound, from_stop=Rector Street, to_stop=Canal Street
confirm	from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	from Houston Street to Columbus Circle	from_stop=Houston Street, to_stop=Columbus Circle
reply	from *STOP	"inform(from_stop=""*STREET"")"	from Dyckman Street	direction=Wall Street, departure_time=2:02pm, vehicle=subway, line=N, from_stop=Dyckman Street
apologize	from *STOP	"inform(from_stop=""*STREET"")"	from Bleecker Street	*=notfound, from_stop=Bleecker Street
request	from *STOP	"inform(from_stop=""*STREET"")"	from Houston Street	to_stop=?
confirm-request	from *STOP	"inform(from_stop=""*STREET"")"	from Bowling Green	confirm: from_stop=Bowling Green; request: to_stop=?
confirm	from *STOP	"inform(from_stop=""*STREET"")"	from Bowling Green	from_stop=Bowling Green
reply	to *STOP and	"inform(to_stop=""*STREET"")"	to Columbus Circle and	vehicle=subway, departure_time=8:10am, line=A, from_stop=Franklin Street, direction=Columbus Circle
apologize	to *STOP and	"inform(to_stop=""*STREET"")"	to Columbia University and	*=notfound, to_stop=Columbia University
request	to *STOP and	"inform(to_stop=""*STREET"")"	to Wall Street and	from_stop=?
confirm-request	to *STOP and	"inform(to_stop=""*STREET"")"	to Bowery and	confirm: to_stop=Bowery; request: from_stop=?
confirm	to *STOP and	"inform(to_stop=""*STREET"")"	to Bowery and	to_stop=Bowery
reply	to *STOP	"inform(to_stop=""*STREET"")"	to Grand Central	line=M79, direction=Grand Central, departure_time=11:18am, from_stop=Port Authority Bus Terminal, vehicle=bus
apologize	to *STOP	"inform(to_stop=""*STREET"")"	to Rockefeller Center	*=notfound, to_stop=Rockefeller Center
request	to *STOP	"inform(to_stop=""*STREET"")"	to Canal Street	from_stop=?
confirm-request	to *STOP	"inform(to_stop=""*STREET"")"	to East Broadway	confirm: to_stop=East Broadway; request: from_stop=?
confirm	to *STOP	"inform(to_stop=""*STREET"")"	to East Broadway	to_stop=East Broadway
reply	to *STOP	"inform(to_stop=""*STREET"")"	to Cortlandt Street	direction=Cortlandt Street, departure_time=12:12pm, line=D, vehicle=subway, from_stop=Astor Place
apologize	to *STOP	"inform(to_stop=""*STREET"")"	to Bowling Green	*=notfound, to_stop=Bowling Green
request	to *STOP	"inform(to_stop=""*STREET"")"	to Grand Street	from_stop=?
confirm-request	to *STOP	"inform(to_stop=""*STREET"")"	to World Trade Center	confirm: to_stop=World Trade Center; request: from_stop=?
confirm	to *STOP	"inform(to_stop=""*STREET"")"	to World Trade Center	to_stop=World Trade Center
reply	and the distance of the trip	request(distance)	and the distance of the trip	distance=0.5 miles
reply	what's the connect connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	what's the connect connection in half an hour	departure_time=10:14am, vehicle=bus, from_stop=Grand Street, line=M14, direction=Grand Central
apologize	what's the connect connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	what's the connect connection in half an hour	*=notfound, departure_time_rel=0:30
request	what's the connect connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	what's the connect connection in half an hour	from_stop=?, to_stop=?
confirm-request	what's the connect connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	what's the connect connection in half an hour	confirm: departure_time_rel=0:30; request: from_stop=?, to_stop=?
confirm	what's the connect connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	what's the connect connection in half an hour	departure_time_rel=0:30
reply	what's the connection at *NUMBER	"inform(departure_time=""*DEPARTURE_TIME"")"	what's the connection at three	line=M72, direction=Marble Hill, vehicle=bus, from_stop=Columbus Circle, departure_time=3:18am
apologize	what's the connection at *NUMBER	"inform(departure_time=""*DEPARTURE_TIME"")"	what's the connection at three	*=notfound, departure_time=3:00
request	what's the connection at *NUMBER	"inform(departure_time=""*DEPARTURE_TIME"")"	what's the connection at seven	from_stop=?, to_stop=?
confirm-request	what's the connection at *NUMBER	"inform(departure_time=""*DEPARTURE_TIME"")"	what's the connection at eight	confirm: departure_time=8:00; request: from_stop=?, to_stop=?
confirm	what's the connection at *NUMBER	"inform(departure_time=""*DEPARTURE_TIME"")"	what's the connection at eight	departure_time=8:00
reply	what's the distance of the trip	request(distance)	what's the distance of the trip	distance=6.7 miles
reply	what's the duration of the trip	request(duration)	what's the duration of the trip	duration=25 minutes
reply	are there any connections	"inform(alternative=""dontcare"")"	are there any connections	departure_time=1:00pm, vehicle=subway, line=5, direction=Fulton Street, from_stop=Broad Street
apologize	are there any connections	"inform(alternative=""dontcare"")"	are there any connections	*=notfound, alternative=dontcare
confirm	are there any connections	"inform(alternative=""dontcare"")"	are there any connections	alternative=dontcare
reply	are there any transfers	request(num_transfers)	are there any transfers	num_transfers=2
reply	is there a connection at *NUMBER pm	"inform(departure_time=""*DEPARTURE_TIME"")"	is there a connection at nine pm	departure_time=9:01pm, direction=Canal Street, line=Q, from_stop=Port Authority Bus Terminal, vehicle=subway
apologize	is there a connection at *NUMBER pm	"inform(departure_time=""*DEPARTURE_TIME"")"	is there a connection at three pm	*=notfound, departure_time=3:00
request	is there a connection at *NUMBER pm	"inform(departure_time=""*DEPARTURE_TIME"")"	is there a connection at nine pm	from_stop=?, to_stop=?
confirm-request	is there a connection at *NUMBER pm	"inform(departure_time=""*DEPARTURE_TIME"")"	is there a connection at eleven pm	confirm: departure_time=11:00; request: from_stop=?, to_stop=?
confirm	is there a connection at *NUMBER pm	"inform(departure_time=""*DEPARTURE_TIME"")"	is there a connection at eleven pm	departure_time=11:00
reply	is there a connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	is there a connection in half an hour	direction=City Hall, departure_time=3:11pm, from_stop=Cathedral Parkway, line=J, vehicle=subway
apologize	is there a connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	is there a connection in half an hour	*=notfound, departure_time_rel=0:30
request	is there a connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	is there a connection in half an hour	from_stop=?, to_stop=?
confirm-request	is there a connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	is there a connection in half an hour	confirm: departure_time_rel=0:30; request: from_stop=?, to_stop=?
confirm	is there a connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	is there a connection in half an hour	departure_time_rel=0:30
reply	is there a connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	is there a connection in four minutes	departure_time=10:10am, vehicle=subway, line=M, direction=East Broadway, from_stop=World Trade Center
apologize	is there a connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	is there a connection in four minutes	*=notfound, departure_time_rel=4:00
request	is there a connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	is there a connection in zero minutes	from_stop=?, to_stop=?
confirm-request	is there a connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	is there a connection in four minutes	confirm: departure_time_rel=4:00; request: from_stop=?, to_stop=?
confirm	is there a connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	is there a connection in four minutes	departure_time_rel=4:00
reply	is there time requirement	request(duration)	is there time requirement	duration=60 minutes
reply	travel time	request(duration)	travel time	duration=26 minutes
reply	connection to *STOP	"inform(to_stop=""*STREET"")"	connection to Lincoln Center	vehicle=subway, direction=Lincoln Center, from_stop=Inwood, departure_time=2:03pm, line=F
apologize	connection to *STOP	"inform(to_stop=""*STREET"")"	connection to Prince Street	*=notfound, to_stop=Prince Street
request	connection to *STOP	"inform(to_stop=""*STREET"")"	connection to Herald Square	from_stop=?
confirm-request	connection to *STOP	"inform(to_stop=""*STREET"")"	connection to Franklin Street	confirm: to_stop=Franklin Street; request: from_stop=?
confirm	connection to *STOP	"inform(to_stop=""*STREET"")"	connection to Franklin Street	to_stop=Franklin Street
reply	*STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	Columbus Circle to Times Square	from_stop=Columbus Circle, vehicle=bus, direction=Times Square, line=M116, departure_time=9:13pm
apologize	*STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	Houston Street to Bryant Park	*=notfound, from_stop=Houston Street, to_stop=Bryant Park
confirm	*STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	Astor Place to Columbia University	from_stop=Astor Place, to_stop=Columbia University
reply	*STOP to *NUMBER street	"inform(from_stop=""*STREET"")"	Inwood to *NUMBER street	departure_time=7:05am, direction=Delancey Street, line=M7, from_stop=Inwood, vehicle=bus
apologize	*STOP to *NUMBER street	"inform(from_stop=""*STREET"")"	Columbia University to *NUMBER street	*=notfound, from_stop=Columbia University
request	*STOP to *NUMBER street	"inform(from_stop=""*STREET"")"	Lincoln Center to *NUMBER street	to_stop=?
confirm-request	*STOP to *NUMBER street	"inform(from_stop=""*STREET"")"	Inwood to *NUMBER street	confirm: from_stop=Inwood; request: to_stop=?
confirm	*STOP to *NUMBER street	"inform(from_stop=""*STREET"")"	Inwood to *NUMBER street	from_stop=Inwood
reply	*STOP to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	Bleecker Street to Columbus Circle	direction=Columbus Circle, vehicle=subway, from_stop=Bleecker Street, departure_time=10:04am, line=M
apologize	*STOP to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	Cortlandt Street to Park Place	*=notfound, from_stop=Cortlandt Street, to_stop=Park Place
confirm	*STOP to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	Fulton Street to Washington Square	from_stop=Fulton Street, to_stop=Washington Square
reply	want to find a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	want to find a subway connection	vehicle=subway, from_stop=Grand Central, line=N, departure_time=4:13pm, direction=Herald Square
apologize	want to find a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	want to find a subway connection	*=notfound, vehicle=subway
request	want to find a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	want to find a bus connection	from_stop=?, to_stop=?
confirm-request	want to find a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	want to find a bus connection	confirm: vehicle=bus; request: from_stop=?, to_stop=?
confirm	want to find a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	want to find a bus connection	vehicle=bus
reply	i'm traveling from *STOP	"inform(from_stop=""*STOP"")"	i'm traveling from Prince Street	vehicle=bus, departure_time=9:03pm, direction=East Broadway, line=M11, from_stop=Prince Street
apologize	i'm traveling from *STOP	"inform(from_stop=""*STOP"")"	i'm traveling from Essex Street	*=notfound, from_stop=Essex Street
request	i'm traveling from *STOP	"inform(from_stop=""*STOP"")"	i'm traveling from Broad Street	to_stop=?
confirm-request	i'm traveling from *STOP	"inform(from_stop=""*STOP"")"	i'm traveling from Essex Street	confirm: from_stop=Essex Street; request: to_stop=?
confirm	i'm traveling from *STOP	"inform(from_stop=""*STOP"")"	i'm traveling from Essex Street	from_stop=Essex Street
reply	find *VEHICLE connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	find bus connection from Delancey Street to East Broadway	direction=East Broadway, from_stop=Delancey Street, departure_time=4:10pm, line=M106, vehicle=bus
apologize	find *VEHICLE connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	find bus connection from Delancey Street to Franklin Street	*=notfound, from_stop=Delancey Street, to_stop=Franklin Street, vehicle=bus
confirm	find *VEHICLE connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	find subway connection from Columbus Circle to Inwood	from_stop=Columbus Circle, to_stop=Inwood, vehicle=subway
reply	i wanna find a *VEHICLE connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	i wanna find a bus connection from Cathedral Parkway to Rector Street	vehicle=bus, line=M42, direction=Rector Street, from_stop=Cathedral Parkway, departure_time=9:09am
apologize	i wanna find a *VEHICLE connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	i wanna find a bus connection from Astor Place to Bowling Green	*=notfound, from_stop=Astor Place, to_stop=Bowling Green, vehicle=bus
confirm	i wanna find a *VEHICLE connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	i wanna find a bus connection from Franklin Street to Prince Street	from_stop=Franklin Street, to_stop=Prince Street, vehicle=bus
reply	i wanna go to *STOP	"inform(to_stop=""*STOP"")"	i wanna go to Astor Place	vehicle=bus, departure_time=10:01am, line=M96, from_stop=Park Place, direction=Astor Place
apologize	i wanna go to *STOP	"inform(to_stop=""*STOP"")"	i wanna go to Wall Street	*=notfound, to_stop=Wall Street
request	i wanna go to *STOP	"inform(to_stop=""*STOP"")"	i wanna go to Astor Place	from_stop=?
confirm-request	i wanna go to *STOP	"inform(to_stop=""*STOP"")"	i wanna go to World Trade Center	confirm: to_stop=World Trade Center; request: from_stop=?
confirm	i wanna go to *STOP	"inform(to_stop=""*STOP"")"	i wanna go to World Trade Center	to_stop=World Trade Center
reply	i want a *VEHICLE connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	i want a subway connection from Marble Hill to Canal Street	line=Z, direction=Canal Street, from_stop=Marble Hill, vehicle=subway, departure_time=12:19pm
apologize	i want a *VEHICLE connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	i want a bus connection from Washington Square to Grand Street	*=notfound, from_stop=Washington Square, to_stop=Grand Street, vehicle=bus
confirm	i want a *VEHICLE connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	i want a subway connection from Lincoln Center to Port Authority Bus Terminal	from_stop=Lincoln Center, to_stop=Port Authority Bus Terminal, vehicle=subway
reply	i want to find a connection from *STOP	"inform(from_stop=""*STREET"")"	i want to find a connection from Union Square	vehicle=subway, from_stop=Union Square, departure_time=9:02am, line=Z, direction=Times Square
apologize	i want to find a connection from *STOP	"inform(from_stop=""*STREET"")"	i want to find a connection from Bowery	*=notfound, from_stop=Bowery
request	i want to find a connection from *STOP	"inform(from_stop=""*STREET"")"	i want to find a connection from Lincoln Center	to_stop=?
confirm-request	i want to find a connection from *STOP	"inform(from_stop=""*STREET"")"	i want to find a connection from Inwood	confirm: from_stop=Inwood; request: to_stop=?
confirm	i want to find a connection from *STOP	"inform(from_stop=""*STREET"")"	i want to find a connection from Inwood	from_stop=Inwood
reply	i want to find a connection from *STOP man	"inform(from_stop=""*STREET"")"	i want to find a connection from Central Park man	vehicle=bus, direction=Bleecker Street, from_stop=Central Park, line=M20, departure_time=7:00am
apologize	i want to find a connection from *STOP man	"inform(from_stop=""*STREET"")"	i want to find a connection from Essex Street man	*=notfound, from_stop=Essex Street
request	i want to find a connection from *STOP man	"inform(from_stop=""*STREET"")"	i want to find a connection from Central Park man	to_stop=?
confirm-request	i want to find a connection from *STOP man	"inform(from_stop=""*STREET"")"	i want to find a connection from Columbia University man	confirm: from_stop=Columbia University; request: to_stop=?
confirm	i want to find a connection from *STOP man	"inform(from_stop=""*STREET"")"	i want to find a connection from Columbia University man	from_stop=Columbia University
reply	i want to find a connection from *STOP queen to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	i want to find a connection from Wall Street queen to East Broadway	vehicle=subway, direction=East Broadway, departure_time=7:02pm, line=D, from_stop=Wall Street
apologize	i want to find a connection from *STOP queen to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	i want to find a connection from Bowery queen to Prince Street	*=notfound, from_stop=Bowery, to_stop=Prince Street
