Testing connection to the update server..
i would like to get from the manhattan to the central park	i would like to get from the *BOROUGH to the *STOP	inform(to_stop="Central Park")&inform(from_borough="Manhattan")&inform(task="find_connection")	inform(to_stop="*STOP")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
		silence()	silence()
_noise_	_noise_	null()	null()
thirty minutes from now	*NUMBER minutes from *TIME	inform(time="0:30")&inform(time_rel="now")	inform(time="*TIME")&inform(time_rel="*TIME_REL")
		silence()	silence()
		silence()	silence()
how many minutes do i	how many minutes do i	request(departure_time_rel)	request(departure_time_rel="*DEPARTURE_TIME_REL")
path	path	null()	null()
how long does it take	how long does it take	request(duration)	request(duration)
how many transfers are there	how many transfers are there	request(num_transfers)	request(num_transfers)
help	help	help()	help()
		silence()	silence()
		silence()	silence()
		silence()	silence()
when does it leave	when does it leave	request(departure_time)	request(departure_time="*DEPARTURE_TIME")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
_noise_	_noise_	null()	null()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
central park	*STOP	inform(stop="Central Park")	inform(stop="*STOP")
empire state building	*STOP	inform(stop="Empire State Building")	inform(stop="*STOP")
		silence()	silence()
what is the weather forecast	what is the weather forecast	inform(task="weather")	inform(task="weather")
dialogue code	dialogue code	null()	null()
next connection	next connection	inform(task="find_connection")&inform(alternative="next")	inform(task="find_connection")&inform(alternative="next")
hello	hello	hello()	hello()
		silence()	silence()
give me the dial up code validation	give me the dial up code validation	null()	null()
time requirements	time requirements	request(duration)	request(duration)
		silence()	silence()
dialogue code validation	dialogue code validation	null()	null()
end of discussion thank you good bye	end of discussion thank you good bye	bye()&thankyou()	bye()&thankyou()
i want to find a bus connection from central park to the empire state building	i want to find a *VEHICLE connection from *STOP to the *STOP	inform(from_stop="Central Park")&inform(to_stop="Empire State Building")&inform(vehicle="bus")&inform(task="find_connection")	inform(from_stop="*STOP")&inform(to_stop="*STOP")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
where is the next connection	where is the next connection	inform(task="find_connection")&inform(alternative="next")	inform(task="find_connection")&inform(alternative="next")
what is the weather forecast in congers new york	what is the weather forecast in *CITY *CITY	inform(in_city="Congers")&inform(to_city="New York")&inform(task="weather")	inform(in_city="*CITY")&inform(to_city="*CITY")&inform(task="weather")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
		silence()	silence()
broadway queens	*STREET *BOROUGH	inform(street="Broadway")&inform(borough="Queens")	inform(street="*STREET")&inform(borough="*BOROUGH")
		silence()	silence()
		silence()	silence()
_noise_	_noise_	null()	null()
dominic i'm looking for a connection	dominic i'm looking for a connection	inform(task="find_connection")	inform(task="find_connection")
		silence()	silence()
to queens	to *BOROUGH	inform(to_borough="Queens")	inform(to_borough="*BOROUGH")
		silence()	silence()
seventh avenue and forty second street	*STREET and *STREET	inform(street="7 Ave")&inform(street="42 St")	inform(street="*STREET")&inform(street="*STREET")
no	no	negate()	negate()
		silence()	silence()
yes	yes	affirm()	affirm()
		silence()	silence()
yes	yes	affirm()	affirm()
yes	yes	affirm()	affirm()
		silence()	silence()
		silence()	silence()
yes	yes	affirm()	affirm()
yes	yes	affirm()	affirm()
		silence()	silence()
hi i'm looking for a connection	hi i'm looking for a connection	inform(task="find_connection")&hello()	inform(task="find_connection")&hello()
i want to travel from broadway queens	i want to travel from *STREET *BOROUGH	inform(from_street="Broadway")&inform(from_borough="Queens")&inform(task="find_connection")	inform(from_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
		silence()	silence()
		silence()	silence()
how long does it take	how long does it take	request(duration)	request(duration)
		silence()	silence()
i'd like a subway connection from broadway queens to seventh avenue and forty second street	i'd like a *VEHICLE connection from *STREET *BOROUGH to *STREET and *STREET	inform(from_street="Broadway")&inform(to_street="7 Ave")&inform(to_street2="42 St")&inform(from_borough="Queens")&inform(vehicle="subway")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(to_street2="*STREET")&inform(from_borough="*BOROUGH")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
i want to find a subway connection from broadway queens to seventh avenue and forty second street	i want to find a *VEHICLE connection from *STREET *BOROUGH to *STREET and *STREET	inform(from_street="Broadway")&inform(to_street="7 Ave")&inform(to_street2="42 St")&inform(from_borough="Queens")&inform(vehicle="subway")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(to_street2="*STREET")&inform(from_borough="*BOROUGH")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
what's the duration of the trip	what's the duration of the trip	request(duration)	request(duration)
		silence()	silence()
what's the connection at five	what's the connection at *NUMBER	inform(departure_time="5:00")&inform(task="find_connection")	inform(departure_time="*DEPARTURE_TIME")&inform(task="find_connection")
		silence()	silence()
what's the weather forecast	what's the weather forecast	inform(task="weather")	inform(task="weather")
what's the time in my favorite at new york	what's the time in my favorite at *CITY	inform(in_city="New York")&request(current_time)	inform(in_city="*CITY")&request(current_time="*CURRENT_TIME")
		silence()	silence()
ok thank you good bye	ok thank you good bye	bye()&thankyou()&ack()	bye()&thankyou()&ack()
i need to find a subway connection	i need to find a *VEHICLE connection	inform(vehicle="subway")&inform(task="find_connection")	inform(vehicle="*VEHICLE")&inform(task="find_connection")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
broadway queens	*STREET *BOROUGH	inform(street="Broadway")&inform(borough="Queens")	inform(street="*STREET")&inform(borough="*BOROUGH")
broadway queens	*STREET *BOROUGH	inform(street="Broadway")&inform(borough="Queens")	inform(street="*STREET")&inform(borough="*BOROUGH")
		silence()	silence()
i would like the subway connection from broadway	i would like the *VEHICLE connection from *STREET	inform(from_street="Broadway")&inform(vehicle="subway")&inform(task="find_connection")	inform(from_street="*STREET")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
		silence()	silence()
five p m	*NUMBER *AMPM	inform(time="5:00")&inform(ampm="pm")	inform(time="*TIME")&inform(ampm="*AMPM")
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
i want to find a subway connection from broadway queens to seventh avenue and forty second street	i want to find a *VEHICLE connection from *STREET *BOROUGH to *STREET and *STREET	inform(from_street="Broadway")&inform(to_street="7 Ave")&inform(to_street2="42 St")&inform(from_borough="Queens")&inform(vehicle="subway")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(to_street2="*STREET")&inform(from_borough="*BOROUGH")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
i want to go from broadway queens to seventh avenue and forty second street hello	i want to go from *STREET *BOROUGH to *STREET and *STREET hello	inform(from_street="Broadway")&inform(to_street="7 Ave")&inform(to_street2="42 St")&inform(from_borough="Queens")&hello()&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(to_street2="*STREET")&inform(from_borough="*BOROUGH")&hello()&inform(task="find_connection")
		silence()	silence()
i want to go to seventh avenue and forty second street hello	i want to go to *STREET and *STREET hello	inform(to_street="7 Ave")&inform(to_street2="42 St")&hello()&inform(task="find_connection")	inform(to_street="*STREET")&inform(to_street2="*STREET")&hello()&inform(task="find_connection")
		silence()	silence()
		silence()	silence()
i need a subway connection from broadway queens to seventh avenue and forty second street	i need a *VEHICLE connection from *STREET *BOROUGH to *STREET and *STREET	inform(from_street="Broadway")&inform(to_street="7 Ave")&inform(to_street2="42 St")&inform(from_borough="Queens")&inform(vehicle="subway")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(to_street2="*STREET")&inform(from_borough="*BOROUGH")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
what is the duration of the trip	what is the duration of the trip	request(duration)	request(duration)
i'd like to find out connection at five p m	i'd like to find out connection at *NUMBER *AMPM	inform(departure_time="5:00")&inform(ampm="pm")&inform(task="find_connection")	inform(departure_time="*DEPARTURE_TIME")&inform(ampm="*AMPM")&inform(task="find_connection")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
queens	*BOROUGH	inform(borough="Queens")	inform(borough="*BOROUGH")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
i need to find a subway connection from broadway queens to	i need to find a *VEHICLE connection from *STREET *BOROUGH to	inform(from_street="Broadway")&inform(from_borough="Queens")&inform(vehicle="subway")&inform(task="find_connection")	inform(from_street="*STREET")&inform(from_borough="*BOROUGH")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
		silence()	silence()
		silence()	silence()
		silence()	silence()
seventh avenue and forty second	*STREET and *NUMBER second	inform(street="7 Ave")	inform(street="*STREET")
well then you should listen	well then you should listen	ack()	ack()
broadway queens to seventh avenue and forty second street	*STREET *BOROUGH to *STREET and *STREET	inform(from_street="Broadway")&inform(to_street="7 Ave")&inform(to_street2="42 St")&inform(from_borough="Queens")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(to_street2="*STREET")&inform(from_borough="*BOROUGH")
_noise_	_noise_	null()	null()
		silence()	silence()
_noise_	_noise_	null()	null()
		silence()	silence()
		silence()	silence()
okay stop	okay stop	ack()	ack()
		silence()	silence()
from broadway queens to seventh avenue	from *STREET *BOROUGH to *STREET	inform(from_street="Broadway")&inform(to_street="7 Ave")&inform(from_borough="Queens")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")
_noise_	_noise_	null()	null()
okay stop talking	okay stop talking	ack()&restart()	ack()&restart()
i'm looking for a connection	i'm looking for a connection	inform(task="find_connection")	inform(task="find_connection")
i'm looking for a connection	i'm looking for a connection	inform(task="find_connection")	inform(task="find_connection")
		silence()	silence()
		silence()	silence()
		silence()	silence()
broadway queens	*STREET *BOROUGH	inform(street="Broadway")&inform(borough="Queens")	inform(street="*STREET")&inform(borough="*BOROUGH")
		silence()	silence()
		silence()	silence()
what time does it leave	what time does it leave	request(departure_time)	request(departure_time="*DEPARTURE_TIME")
what time is it now	what time is it *TIME	inform(time_rel="now")&request(current_time)	inform(time_rel="*TIME_REL")&request(current_time="*CURRENT_TIME")
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
how long is the trip	how long is the trip	request(duration)&request(distance)	request(duration)&request(distance)
		silence()	silence()
		silence()	silence()
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
		silence()	silence()
broadway queens	*STREET *BOROUGH	inform(street="Broadway")&inform(borough="Queens")	inform(street="*STREET")&inform(borough="*BOROUGH")
how long does it take	how long does it take	request(duration)	request(duration)
		silence()	silence()
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
what is the weather like in chico california	what is the weather like in *CITY *CITY	inform(in_city="Chico")&inform(in_state="California")&inform(task="weather")	inform(in_city="*CITY")&inform(in_state="*STATE")&inform(task="weather")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
how many transfers are there	how many transfers are there	request(num_transfers)	request(num_transfers)
		silence()	silence()
in new york	in *CITY	inform(in_city="New York")	inform(in_city="*CITY")
what's the weather like in new york	what's the weather like in *CITY	inform(in_city="New York")&inform(task="weather")	inform(in_city="*CITY")&inform(task="weather")
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
		silence()	silence()
to seventh avenue and forty second street	to *STREET and *STREET	inform(to_street="7 Ave")&inform(to_street2="42 St")	inform(to_street="*STREET")&inform(to_street2="*STREET")
seventh avenue	*STREET	inform(street="7 Ave")	inform(street="*STREET")
		silence()	silence()
		silence()	silence()
broadway queens	*STREET *BOROUGH	inform(street="Broadway")&inform(borough="Queens")	inform(street="*STREET")&inform(borough="*BOROUGH")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
from from	from from	null()	null()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
i would like to go from broadway	i would like to go from *STREET	inform(from_street="Broadway")&inform(task="find_connection")	inform(from_street="*STREET")&inform(task="find_connection")
		silence()	silence()
hi i'm looking for a connection	hi i'm looking for a connection	inform(task="find_connection")&hello()	inform(task="find_connection")&hello()
to seventh and forty second street	to seventh and *STREET	inform(to_street="42 St")	inform(to_street="*STREET")
		silence()	silence()
		silence()	silence()
		silence()	silence()
how long does it take	how long does it take	request(duration)	request(duration)
		silence()	silence()
what is the weather like	what is the weather like	inform(task="weather")	inform(task="weather")
what is the weather like in scottsdale arizona	what is the weather like in *CITY *STATE	inform(in_city="Scottsdale")&inform(in_state="Arizona")&inform(task="weather")	inform(in_city="*CITY")&inform(in_state="*STATE")&inform(task="weather")
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
weather forecast and time	weather forecast and time	inform(task="weather")	inform(task="weather")
		silence()	silence()
what time is it in detroit michigan	what time is it in *CITY *STATE	inform(in_city="Detroit")&inform(in_state="Michigan")&request(current_time)	inform(in_city="*CITY")&inform(in_state="*STATE")&request(current_time="*CURRENT_TIME")
what time is it in california	what time is it in *CITY	inform(in_state="California")&request(current_time)	inform(in_state="*STATE")&request(current_time="*CURRENT_TIME")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
i'd like to find a subway connection from broadway queens to seventh avenue and forty second street	i'd like to find a *VEHICLE connection from *STREET *BOROUGH to *STREET and *STREET	inform(from_street="Broadway")&inform(to_street="7 Ave")&inform(to_street2="42 St")&inform(from_borough="Queens")&inform(vehicle="subway")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(to_street2="*STREET")&inform(from_borough="*BOROUGH")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
		silence()	silence()
		silence()	silence()
what is the weather forecast	what is the weather forecast	inform(task="weather")	inform(task="weather")
		silence()	silence()
good bye	good bye	bye()	bye()
_noise_	_noise_	null()	null()
		silence()	silence()
		silence()	silence()
		silence()	silence()
i want to go from broadway queens to seventh avenue and forty second street	i want to go from *STREET *BOROUGH to *STREET and *STREET	inform(from_street="Broadway")&inform(to_street="7 Ave")&inform(to_street2="42 St")&inform(from_borough="Queens")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(to_street2="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
like to go from broadway queens	like to go from *STREET *BOROUGH	inform(from_street="Broadway")&inform(from_borough="Queens")&inform(task="find_connection")	inform(from_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
_noise_	_noise_	null()	null()
		silence()	silence()
um i would like connection to	um i would like connection to	inform(task="find_connection")	inform(task="find_connection")
connection from broadway queens to seventh avenue and forty second street	connection from *STREET *BOROUGH to *STREET and *STREET	inform(from_street="Broadway")&inform(to_street="7 Ave")&inform(to_street2="42 St")&inform(from_borough="Queens")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(to_street2="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
		silence()	silence()
		silence()	silence()
whats the duration time	whats the duration time	null()	null()
duration	duration	null()	null()
yes i would like	yes i would like	affirm()	affirm()
the weather	the weather	inform(task="weather")	inform(task="weather")
whats the weather forecast and the time for queens	whats the weather forecast and the time for *BOROUGH	inform(in_borough="Queens")&inform(task="weather")	inform(in_borough="*BOROUGH")&inform(task="weather")
weather forecast and time for queens	weather forecast and time for *BOROUGH	inform(in_borough="Queens")&inform(task="weather")	inform(in_borough="*BOROUGH")&inform(task="weather")
what's the time	what's the time	request(current_time)	request(current_time="*CURRENT_TIME")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
		silence()	silence()
i would like to go from broadway queens	i would like to go from *STREET *BOROUGH	inform(from_street="Broadway")&inform(from_borough="Queens")&inform(task="find_connection")	inform(from_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
		silence()	silence()
seventh avenue and forty second street	*STREET and *STREET	inform(street="7 Ave")&inform(street="42 St")	inform(street="*STREET")&inform(street="*STREET")
seventh avenue and forty second street	*STREET and *STREET	inform(street="7 Ave")&inform(street="42 St")	inform(street="*STREET")&inform(street="*STREET")
what about the duration of the trip	what about the duration of the trip	null()	null()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
queens	*BOROUGH	inform(borough="Queens")	inform(borough="*BOROUGH")
		silence()	silence()
queens broadway to seventh avenue	*BOROUGH *STREET to *STREET	inform(from_street="Broadway")&inform(to_street="7 Ave")&inform(from_borough="Queens")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")
		silence()	silence()
		silence()	silence()
from broadway	from *STREET	inform(from_street="Broadway")	inform(from_street="*STREET")
		silence()	silence()
thank you	thank you	thankyou()	thankyou()
		silence()	silence()
that is all	that is all	bye()	bye()
		silence()	silence()
hello	hello	hello()	hello()
		silence()	silence()
_noise_	_noise_	null()	null()
		silence()	silence()
_noise_	_noise_	null()	null()
hello	hello	hello()	hello()
_noise_	_noise_	null()	null()
		silence()	silence()
_noise_	_noise_	null()	null()
		silence()	silence()
i want to find a subway connection from broadway queens to seventh avenue and forty second street	i want to find a *VEHICLE connection from *STREET *BOROUGH to *STREET and *STREET	inform(from_street="Broadway")&inform(to_street="7 Ave")&inform(to_street2="42 St")&inform(from_borough="Queens")&inform(vehicle="subway")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(to_street2="*STREET")&inform(from_borough="*BOROUGH")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
		silence()	silence()
seventh avenue and forty second street	*STREET and *STREET	inform(street="7 Ave")&inform(street="42 St")	inform(street="*STREET")&inform(street="*STREET")
thank you	thank you	thankyou()	thankyou()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
public transportation	public transportation	null()	null()
		silence()	silence()
		silence()	silence()
im looking for a connection	im looking for a connection	inform(task="find_connection")	inform(task="find_connection")
sorry i didn't catch you	sorry i didn't catch you	null()	null()
i'm looking for a subway connection from broadway queens to seventh avenue and forty second street	i'm looking for a *VEHICLE connection from *STREET *BOROUGH to *STREET and *STREET	inform(from_street="Broadway")&inform(to_street="7 Ave")&inform(to_street2="42 St")&inform(from_borough="Queens")&inform(vehicle="subway")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(to_street2="*STREET")&inform(from_borough="*BOROUGH")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
is there a connection at five p m	is there a connection at *NUMBER *AMPM	inform(departure_time="5:00")&inform(ampm="pm")&inform(task="find_connection")	inform(departure_time="*DEPARTURE_TIME")&inform(ampm="*AMPM")&inform(task="find_connection")
		silence()	silence()
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
i need a subway connection from broadway queens to seventh avenue and forty second street	i need a *VEHICLE connection from *STREET *BOROUGH to *STREET and *STREET	inform(from_street="Broadway")&inform(to_street="7 Ave")&inform(to_street2="42 St")&inform(from_borough="Queens")&inform(vehicle="subway")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(to_street2="*STREET")&inform(from_borough="*BOROUGH")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
queens to seventh avenue and forty second street i would like to know the duration of the trip and find out connection at five p m	*BOROUGH to *STREET and *STREET i would like to know the duration of the trip and find out connection at *NUMBER *AMPM	inform(to_street="7 Ave")&inform(to_street2="42 St")&inform(from_borough="Queens")&inform(departure_time="5:00")&inform(ampm="pm")&inform(task="find_connection")&request(duration)	inform(to_street="*STREET")&inform(to_street2="*STREET")&inform(from_borough="*BOROUGH")&inform(departure_time="*DEPARTURE_TIME")&inform(ampm="*AMPM")&inform(task="find_connection")&request(duration)
you are not helping me	you are not helping me	negate()	negate()
i would like the weather forecast	i would like the weather forecast	inform(task="weather")	inform(task="weather")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
hi i'm looking for a connection	hi i'm looking for a connection	inform(task="find_connection")&hello()	inform(task="find_connection")&hello()
		silence()	silence()
		silence()	silence()
from broadway queens	from *STREET *BOROUGH	inform(from_street="Broadway")&inform(from_borough="Queens")	inform(from_street="*STREET")&inform(from_borough="*BOROUGH")
to seventh avenue and	to *STREET and	inform(to_street="7 Ave")	inform(to_street="*STREET")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
how may i help you	how *CITY i help you	inform(city="May")&help()	inform(city="*CITY")&help()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
_noise_	_noise_	null()	null()
		silence()	silence()
information about public	information about public	null()	null()
sorry i couldn't hear you	sorry i couldn't hear you	null()	null()
		silence()	silence()
im looking for a connection	im looking for a connection	inform(task="find_connection")	inform(task="find_connection")
where do you want to travel to	where do you want to travel to	inform(task="find_connection")	inform(task="find_connection")
		silence()	silence()
_noise_	_noise_	null()	null()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
from broadway queens	from *STREET *BOROUGH	inform(from_street="Broadway")&inform(from_borough="Queens")	inform(from_street="*STREET")&inform(from_borough="*BOROUGH")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
maryland	*CITY	inform(state="Maryland")	inform(state="*STATE")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
		silence()	silence()
five p m	*NUMBER *AMPM	inform(time="5:00")&inform(ampm="pm")	inform(time="*TIME")&inform(ampm="*AMPM")
i'm looking for a five p m connection	i'm looking for a *NUMBER *AMPM connection	inform(departure_time="5:00")&inform(ampm="pm")&inform(task="find_connection")	inform(departure_time="*DEPARTURE_TIME")&inform(ampm="*AMPM")&inform(task="find_connection")
i'm headed to seventh avenue and forty second street	i'm headed to *STREET and *STREET	inform(to_street="7 Ave")&inform(to_street2="42 St")	inform(to_street="*STREET")&inform(to_street2="*STREET")
from broadway queens	from *STREET *BOROUGH	inform(from_street="Broadway")&inform(from_borough="Queens")	inform(from_street="*STREET")&inform(from_borough="*BOROUGH")
how long does it take	how long does it take	request(duration)	request(duration)
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
can you repeat that	can you repeat that	repeat()	repeat()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
best connection at five p m	best connection at *NUMBER *AMPM	inform(departure_time="5:00")&inform(ampm="pm")&inform(task="find_connection")	inform(departure_time="*DEPARTURE_TIME")&inform(ampm="*AMPM")&inform(task="find_connection")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
from broadway queens	from *STREET *BOROUGH	inform(from_street="Broadway")&inform(from_borough="Queens")	inform(from_street="*STREET")&inform(from_borough="*BOROUGH")
		silence()	silence()
i want to depart from	i want to depart from	null()	null()
		silence()	silence()
queens	*BOROUGH	inform(borough="Queens")	inform(borough="*BOROUGH")
		silence()	silence()
yes i do	yes i do	affirm()	affirm()
i want to go from queens	i want to go from *BOROUGH	inform(from_borough="Queens")&inform(task="find_connection")	inform(from_borough="*BOROUGH")&inform(task="find_connection")
		silence()	silence()
when does it leave	when does it leave	request(departure_time)	request(departure_time="*DEPARTURE_TIME")
		silence()	silence()
north carolina	*STATE	inform(state="North Carolina")	inform(state="*STATE")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
i need to know the duration of the trip	i need to know the duration of the trip	request(duration)	request(duration)
		silence()	silence()
i need the weather and forecast	i need the weather and forecast	inform(task="weather")	inform(task="weather")
		silence()	silence()
i need to know the duration of the trip and find out connection at five p m	i need to know the duration of the trip and find out connection at *NUMBER *AMPM	inform(departure_time="5:00")&inform(ampm="pm")&inform(task="find_connection")&request(duration)	inform(departure_time="*DEPARTURE_TIME")&inform(ampm="*AMPM")&inform(task="find_connection")&request(duration)
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
yes i would like a subway connection from broadway queens to seventh avenue and forty second street at five p m	yes i would like a *VEHICLE connection from *STREET *BOROUGH to *STREET and *STREET at *NUMBER *AMPM	inform(from_street="Broadway")&inform(to_street="7 Ave")&inform(to_street2="42 St")&inform(from_borough="Queens")&inform(departure_time="5:00")&inform(ampm="pm")&inform(vehicle="subway")&inform(task="find_connection")&affirm()	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(to_street2="*STREET")&inform(from_borough="*BOROUGH")&inform(departure_time="*DEPARTURE_TIME")&inform(ampm="*AMPM")&inform(vehicle="*VEHICLE")&inform(task="find_connection")&affirm()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
seventh avenue and forty second street	*STREET and *STREET	inform(street="7 Ave")&inform(street="42 St")	inform(street="*STREET")&inform(street="*STREET")
		silence()	silence()
_noise_	_noise_	null()	null()
		silence()	silence()
_noise_	_noise_	null()	null()
		silence()	silence()
		silence()	silence()
		silence()	silence()
do you have the time for topeka kansas	do you have the time for *CITY *CITY	inform(in_city="Topeka")&inform(state="Kansas")	inform(in_city="*CITY")&inform(state="*STATE")
		silence()	silence()
		silence()	silence()
		silence()	silence()
subway connection from broadway queens to seventh avenue and forty second street	*VEHICLE connection from *STREET *BOROUGH to *STREET and *STREET	inform(from_street="Broadway")&inform(to_street="7 Ave")&inform(to_street2="42 St")&inform(from_borough="Queens")&inform(vehicle="subway")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(to_street2="*STREET")&inform(from_borough="*BOROUGH")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
		silence()	silence()
		silence()	silence()
what about the five p m connection	what about the *NUMBER *AMPM connection	inform(departure_time="5:00")&inform(ampm="pm")&inform(task="find_connection")	inform(departure_time="*DEPARTURE_TIME")&inform(ampm="*AMPM")&inform(task="find_connection")
weather	weather	inform(task="weather")	inform(task="weather")
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
hello	hello	hello()	hello()
i want to find a subway connection from broadway queens to seventh avenue and forty second street	i want to find a *VEHICLE connection from *STREET *BOROUGH to *STREET and *STREET	inform(from_street="Broadway")&inform(to_street="7 Ave")&inform(to_street2="42 St")&inform(from_borough="Queens")&inform(vehicle="subway")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(to_street2="*STREET")&inform(from_borough="*BOROUGH")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
		silence()	silence()
		silence()	silence()
what's the weather in	what's the weather in	inform(task="weather")	inform(task="weather")
		silence()	silence()
		silence()	silence()
		silence()	silence()
